tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,trigger,direction,total_n
20.0,-0.1,0.22826577307580465,-0.5474009152285771,0.3474009152285771,9.0,0.5555555555555556,0.2939723678960656,-0.020630285520732983,1.1317413966318441,GBP_USD,20,20,di_cross_with_adx,short,29
23.0,0.04053570366820857,0.20546602760291624,-0.36217771043350727,0.44324911776992443,10.0,-0.15388740640949194,0.31716753228888306,-0.7755357696957027,0.4677609568767188,GBP_USD,20,25,adx_cross,long,33
30.0,0.06666666666666667,0.18528222234124034,-0.2964864891221644,0.4298198224554977,13.0,0.44472152825017564,0.24647112839296983,-0.03836188340004526,0.9278049399003965,GBP_USD,20,25,adx_cross,short,43
15.0,-0.3333333333333333,0.25197631533948484,-0.8272069113987236,0.16054024473205697,7.0,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,GBP_USD,20,25,di_cross_with_adx,long,22
8.0,0.0,0.3779644730092272,-0.7408103670980853,0.7408103670980853,4.0,0.5,0.5,-0.48,1.48,GBP_USD,20,25,di_cross_with_adx,short,12
11.0,0.12502962995839237,0.2908415655230123,-0.4450198384667118,0.6950790983834966,6.0,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,GBP_USD,20,30,adx_cross,long,17
15.0,0.06666666666666667,0.2666666666666666,-0.45599999999999985,0.5893333333333332,7.0,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,GBP_USD,20,30,adx_cross,short,22
4.0,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,3.0,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,GBP_USD,20,30,di_cross_with_adx,long,7
2.0,0.0,1.0,-1.96,1.96,2.0,0.0,1.0,-1.96,1.96,GBP_USD,20,30,di_cross_with_adx,short,4
42.0,0.0,0.15617376188860607,-0.3061005733016679,0.3061005733016679,19.0,-0.3684210526315789,0.21912273678590866,-0.7979016167319599,0.06105951146880201,AUD_USD,14,20,adx_cross,long,61
39.0,-0.07692307692307693,0.16174076401164517,-0.39393497438590147,0.24008882053974762,17.0,-0.058823529411764705,0.2495670992423109,-0.547975043926694,0.43032798510316467,AUD_USD,14,20,adx_cross,short,56
40.0,-0.15,0.15831646333879038,-0.46030026814402913,0.16030026814402912,18.0,-0.2222222222222222,0.23647127470752347,-0.6857059206489682,0.24126147620452376,AUD_USD,14,20,di_cross_with_adx,long,58
48.0,0.25,0.14123317071650804,-0.02681701460435576,0.5268170146043558,21.0,0.3333333333333333,0.21081851067789195,-0.07987094759533492,0.7465376142620015,AUD_USD,14,20,di_cross_with_adx,short,69
39.0,0.013267301322162592,0.16067684004049468,-0.30165930515720696,0.3281939078015321,17.0,-0.17647058823529413,0.24607647839237515,-0.6587804858843495,0.30583930941376114,AUD_USD,14,25,adx_cross,long,56
47.0,-0.07364037182853057,0.14410762455199566,-0.3560913159504421,0.20881057229338096,21.0,-0.23809523809523808,0.21717627144745486,-0.6637607301322496,0.1875702539417734,AUD_USD,14,25,adx_cross,short,68
16.0,-0.25,0.25,-0.74,0.24,8.0,-0.5,0.32732683535398854,-1.1415605972938176,0.14156059729381754,AUD_USD,14,25,di_cross_with_adx,long,24
21.0,0.5238095238095238,0.19047619047619047,0.15047619047619054,0.8971428571428571,10.0,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,AUD_USD,14,25,di_cross_with_adx,short,31
32.0,0.0,0.17960530202677488,-0.35202639197247876,0.35202639197247876,15.0,-0.2,0.26186146828319085,-0.7132484778350541,0.313248477835054,AUD_USD,14,30,adx_cross,long,47
