tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
163,0.09524715791450737,0.06454059557546521,-0.031252409413404444,0.22174672524241917,70,0.1013411933045919,0.10713852519837615,-0.10865031608422535,0.3113327026934092,EUR_CHF,r2,False,short,233
70,0.24178472428738504,0.09096715766363055,0.06348909526666918,0.4200803533081009,30,0.022976356905581908,0.16536192412827125,-0.30113301438582973,0.34708572819699357,EUR_CHF,r2,True,short,100
66,0.0044804039590964455,0.10352536876835881,-0.19842931882688683,0.2073901267450797,29,-0.09635636999769231,0.1625175486797769,-0.41489076541005504,0.2221780254146704,EUR_CHF,r3,False,short,95
32,0.045574330014579584,0.1428731576673486,-0.23445705901342365,0.32560571904258284,15,-0.08950642082125218,0.22916471474538613,-0.538669261722209,0.35965642007970466,EUR_CHF,r3,True,short,47
488,-0.048556286856621216,0.044655165929002656,-0.13608041207746643,0.038967838364223996,210,0.06922637690886864,0.0662485876907427,-0.06062085496498705,0.19907360878272434,EUR_NZD,s1,False,long,698
205,-0.038080426047202576,0.06879720618841396,-0.17292295017649395,0.0967620980820888,88,0.058229498391056914,0.1013805146001053,-0.1404763102251495,0.2569353070072633,EUR_NZD,s1,True,long,293
203,0.0310850385314963,0.06953839132836342,-0.105210208472096,0.1673802855350886,87,0.06957770916864059,0.1049597284886493,-0.13614335866911204,0.2752987770063932,EUR_NZD,s2,False,long,290
93,-0.11113577748911312,0.1026532439768906,-0.3123361356838187,0.09006458070559246,41,-0.07877115023966767,0.15377863159015226,-0.3801772681563661,0.22263496767703073,EUR_NZD,s2,True,long,134
69,0.12291614862123987,0.116917630235351,-0.10624240664004808,0.3520747038825278,30,-0.1792629076086959,0.1799704415575754,-0.5320049730615437,0.1734791578441519,EUR_NZD,s3,False,long,99
35,0.2,0.16803361008336118,-0.1293458757633879,0.529345875763388,15,-0.5585258152173911,0.21228386726625892,-0.9746021950592585,-0.14244943537552363,EUR_NZD,s3,True,long,50
491,-0.005529942533155042,0.04462028142013208,-0.09298569411661392,0.08192580905030383,211,0.012587564514071057,0.06703129607889975,-0.11879377580057246,0.14396890482871458,EUR_NZD,r1,False,short,702
196,0.07522074934786104,0.07043692481445481,-0.06283562328847038,0.21327712198419246,85,0.09319864425461291,0.10611446017585983,-0.11478569769007235,0.3011829861992982,EUR_NZD,r1,True,short,281
216,0.0925796604222161,0.06759062131682037,-0.03989795735875182,0.22505727820318402,93,-0.05333805770824632,0.10106076172515488,-0.25141715068954984,0.14474103527305723,EUR_NZD,r2,False,short,309
77,0.1723453232045539,0.11183931939210727,-0.04685974280397634,0.39155038921308416,34,0.24733335359086836,0.16357851916094096,-0.07328054396457592,0.5679472511463126,EUR_NZD,r2,True,short,111
71,-0.027377427158907137,0.1170384124921084,-0.2567727156434396,0.20201786132562533,31,0.10423831841432993,0.18036382039299653,-0.24927476955594327,0.4577514063846031,EUR_NZD,r3,False,short,102
28,0.07142857142857142,0.19195851781663212,-0.3048101234920275,0.4476672663491704,12,0.0192823225703523,0.296268496539583,-0.5614039306472303,0.5999685757879349,EUR_NZD,r3,True,short,40
353,-0.11500702999276728,0.03937717905994907,-0.19218630095026745,-0.0378277590352671,152,0.02133708613630365,0.05262263429032601,-0.08180327707273533,0.12447744934534263,EUR_CZK,s1,False,long,505
175,-0.08882619642012247,0.05517516175642758,-0.1969695134627205,0.019317120622475578,75,-0.015943907689962154,0.07821602947133773,-0.1692473254537841,0.1373595100738598,EUR_CZK,s1,True,long,250
103,-0.03453681837138014,0.07701808723068325,-0.1854922693435193,0.11641863260075902,45,-0.19858618707151546,0.08932040999303657,-0.37365419065786715,-0.02351818348516377,EUR_CZK,s2,False,long,148
53,-0.10497611144713184,0.10131189739451762,-0.3035474303403864,0.09359520744612271,24,-0.14617528553684309,0.10493493717445208,-0.35184776239876914,0.05949719132508299,EUR_CZK,s2,True,long,77
37,-0.13088698830926496,0.12938000984462325,-0.38447180760472655,0.1226978309861966,17,-0.3057190062837699,0.14644363538294997,-0.5927485316343518,-0.018689480933188007,EUR_CZK,s3,False,long,54
18,0.018283847559348112,0.17565662067116236,-0.32600312895613015,0.3625708240748263,9,-0.3045994981922276,0.17963605757690593,-0.6566861710429632,0.04748717465850805,EUR_CZK,s3,True,long,27
338,0.12042300972717421,0.038400369593999784,0.04515828532293463,0.19568773413141377,145,0.0031033880312580186,0.05916825770968354,-0.11286639707972172,0.11907317314223777,EUR_CZK,r1,False,short,483
160,0.0968487329495272,0.05393382457590184,-0.008861563219240406,0.20255902911829482,69,0.010388575541943227,0.09089452964274865,-0.16776470255784412,0.18854185364173057,EUR_CZK,r1,True,short,229
111,0.1685400652064821,0.06995020544244107,0.03143766253929761,0.30564246787366656,48,0.041810374456329354,0.0998035615792377,-0.15380460623897654,0.23742535515163524,EUR_CZK,r2,False,short,159
62,0.14120685623542498,0.08942360512392324,-0.034063409807464556,0.3164771222783145,27,0.18621791061923276,0.1312838062395581,-0.07109834961030109,0.4435341708487666,EUR_CZK,r2,True,short,89
28,0.06436417458803556,0.15058711599204225,-0.23078657275636721,0.35951492193243834,13,-0.019516994324897237,0.18415664495295095,-0.3804640184326811,0.3414300297828866,EUR_CZK,r3,False,short,41
17,0.00660112745204629,0.19074358350141637,-0.3672562962107298,0.38045855111482235,8,0.24852960398674867,0.23390325629967856,-0.20992077836062129,0.7069799863341186,EUR_CZK,r3,True,short,25
431,-0.06745120692913192,0.04793638748147187,-0.16140652639281677,0.02650411253455294,185,0.0904193558191657,0.07283511593280681,-0.05233747140913565,0.23317618304746707,CAD_JPY,s1,False,long,616
162,-0.010007511423355448,0.07865757113603764,-0.16417635084998922,0.1441613280032783,70,0.14508892245847,0.11723146114310085,-0.08468474138200766,0.37486258629894764,CAD_JPY,s1,True,long,232
199,-0.13743867065033388,0.07028824750755878,-0.27520363576514906,0.00032629446448131927,86,0.3349383537117041,0.10132758873854021,0.1363362797841653,0.5335404276392429,CAD_JPY,s2,False,long,285
74,-0.13513513513513514,0.11596754950286203,-0.36243153216074475,0.09216126189047444,33,0.45454545454545453,0.1574591643244434,0.14592549246954545,0.7631654166213636,CAD_JPY,s2,True,long,107
84,-0.09523809523809523,0.1092653289521848,-0.30939813998437743,0.11892194950818696,37,0.23883790665340027,0.1611472618284557,-0.07701072653037289,0.5546865398371734,CAD_JPY,s3,False,long,121
29,-0.10344827586206896,0.18796831555013707,-0.4718661743403376,0.2649696226161997,13,0.07692307692307693,0.2878197989826109,-0.48720372908284043,0.6410498829289943,CAD_JPY,s3,True,long,42
