sample,tp_pct,sl_pct,max_hold,hold_days,total_R_A,win_rate_A,n_A,total_R_B,win_rate_B,n_B,total_R_recent_holdout,win_rate_recent_holdout,n_recent_holdout,total_R,n_trades,win_rate,profitable_all_eras
long_mr_full6,0.008,0.01,60,10,310.74222808308116,0.5517741784477109,21362,527.3780042046512,0.5563841483818538,20919,364.2293218653695,0.5623323013415893,9690,1202.349554153102,51971,0.5555983144445941,True
long_mr_strong4,0.008,0.01,84,14,136.30746011777362,0.5557446808510639,16450,319.68287595991313,0.5587044534412956,16302,310.1500263341871,0.5681664639913525,7401,766.1403624118739,40153,0.55923592259607,True
long_mr_full6,0.008,0.01,84,14,319.4214154219253,0.5593109259432637,21362,505.1753186199578,0.5606864572876332,20919,431.2898524563781,0.5690402476780185,9690,1255.8865864982613,51971,0.5616786284658752,True
long_mr_strong4,0.008,0.01,120,20,171.23739893357606,0.5578115501519757,16450,273.9108791452445,0.559931296773402,16302,253.07134092304833,0.5661021578803606,7322,698.2196190018689,40074,0.5601886509956581,True
long_mr_full6,0.008,0.01,120,20,377.9891345432155,0.5619792154292669,21362,460.7122212287112,0.5623595774176586,20919,375.3359872146194,0.5690284879474069,9583,1214.0373429865463,51864,0.5634351380533703,True
long_mr_strong4,0.008,0.015,36,6,43.54237473739469,0.5742249240121581,16450,362.20088069665803,0.5885780885780886,16302,151.47005569526996,0.5807323334684502,7401,557.2133111293227,40153,0.5812517122008318,True
long_mr_full6,0.008,0.015,36,6,199.45714320929977,0.5780357644415317,21362,504.883003907893,0.590228978440652,20919,200.23064568208952,0.5803921568627451,9690,904.5707927992823,51971,0.5833830405418406,True
long_mr_strong4,0.008,0.015,60,10,108.77254676100155,0.6069908814589665,16450,431.1384497681486,0.617960986382039,16302,212.69039451110046,0.6158627212538846,7401,752.6013910402505,40153,0.6130799691181231,True
long_mr_full6,0.008,0.015,60,10,300.40185327552524,0.6115064132571857,21362,602.5475603959069,0.6196280892968115,20919,321.73814658799307,0.6174406604747162,9690,1224.6875602594253,51971,0.6158819341555868,True
long_mr_strong4,0.008,0.015,84,14,93.00367509788174,0.6252887537993921,16450,407.21483474076456,0.6354435038645565,16302,304.6391199326795,0.6370760708012431,7401,804.8576297713257,40153,0.6315841904714468,True
long_mr_full6,0.008,0.015,84,14,280.54779846220686,0.6292013856380488,21362,590.594932205483,0.6369807352167886,20919,442.7140647360418,0.6398348813209495,9690,1313.8567954037317,51971,0.6343152912201035,True
long_mr_strong4,0.008,0.015,120,20,114.96096306215907,0.6392705167173253,16450,338.797633711328,0.6439087228560912,16302,265.72346878495944,0.6449057634526085,7322,719.4820655584465,40074,0.6421869541348505,True
long_mr_full6,0.008,0.015,120,20,322.3294618527433,0.6446025653028743,21362,516.1013545224952,0.6463502079449305,20919,405.23718520420334,0.6495878117499739,9583,1243.6680015794418,51864,0.6462285978713559,True
long_mr_strong4,0.008,0.02,36,6,107.2746141755805,0.5885714285714285,16450,325.8741102811145,0.599619678567047,16302,109.36914194002796,0.5900553979192001,7401,542.517866396723,40153,0.5933305107962045,True
long_mr_full6,0.008,0.02,36,6,226.06555832333467,0.5912835876790563,21362,439.4399149596852,0.6007935369759548,20919,155.28462157685294,0.590092879256966,9690,820.7900948598729,51971,0.5948894575821131,True
long_mr_strong4,0.008,0.02,60,10,173.0544823358025,0.6303343465045592,16450,412.245237283301,0.6422524843577475,16302,168.7835646536953,0.6334279151466018,7401,754.0832842727988,40153,0.6357432819465544,True
long_mr_full6,0.008,0.02,60,10,322.7216967768269,0.6336953468776332,21362,550.1927249407465,0.6435776088723171,20919,271.09170899293576,0.6359133126934985,9690,1144.0061307105093,51971,0.6380866252333032,True
long_mr_strong4,0.008,0.02,84,14,194.61166072990227,0.6598176291793313,16450,422.24060036843775,0.6700404858299596,16302,220.97880847917784,0.6642345628969059,7401,837.8310695775178,40153,0.6647822080541927,True
long_mr_full6,0.008,0.02,84,14,349.3104526379342,0.6615953562400524,21362,569.7028000671677,0.6708733687078732,20919,342.9054007178947,0.6676986584107327,9690,1261.9186534229966,51971,0.6664678378326374,True
long_mr_strong4,0.008,0.02,120,20,187.33883194305594,0.683404255319149,16450,375.91514334944134,0.687523003312477,16302,194.47629936602388,0.6779568423927889,7322,757.7302746585211,40074,0.6840844437790088,True
long_mr_full6,0.008,0.02,120,20,357.9393677041685,0.6871547607901882,21362,517.8601970350035,0.688847459247574,20919,303.2982916707076,0.6827715746634666,9583,1179.0978564098796,51864,0.6870276106740707,True
