tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
186,0.0060273753535165404,0.07125460106713193,-0.13363164273806202,0.14568639344509512,80,0.043177956551767996,0.10884954371430258,-0.17016714912826508,0.25652306223180105,EUR_USD,14,200,1,short,266
178,0.026328027856944523,0.07262611579239758,-0.11601915909615473,0.16867521481004377,77,0.07679579778359737,0.1108013089258589,-0.1403747677110861,0.2939663632782808,EUR_USD,14,200,2,short,255
156,0.062038499060375875,0.07797677503145019,-0.09079598000126649,0.21487297812201822,67,0.03402268228247371,0.11738691148037286,-0.1960556642190571,0.26410102878400454,EUR_USD,14,200,3,short,223
129,0.10856684002693832,0.08578637092982196,-0.05957444699551272,0.27670812704938935,56,0.05274963209226602,0.12837983971767583,-0.19887485375437858,0.3043741179389106,EUR_USD,14,200,4,short,185
76,0.04742469656589785,0.11213621114966602,-0.17236227728744755,0.26721167041924326,33,-0.00570566498323004,0.16841366582117664,-0.3357964499927363,0.3243851200262762,EUR_USD,14,250,1,short,109
74,0.038600969355453825,0.11275160347769152,-0.18239217346082154,0.2595941121717292,32,-0.049511373862905605,0.17100299037769973,-0.38467723500319706,0.28565448727738585,EUR_USD,14,250,2,short,106
67,0.06814477918265187,0.11923802583957585,-0.1655617514629168,0.3018513098282205,30,-0.08804078125301484,0.17486103742199452,-0.4307684146001241,0.2546868520940944,EUR_USD,14,250,3,short,97
55,0.09105890981919845,0.13231036655807044,-0.1682694086346196,0.3503872282730165,24,-0.0472044032475509,0.2005214640433226,-0.4402264727724632,0.34581766627736144,EUR_USD,14,250,4,short,79
730,0.09781810550001455,0.03531294796546998,0.028604727487693382,0.1670314835123357,313,0.010802687165747981,0.05517808961040359,-0.09734636847064305,0.11895174280213901,EUR_USD,20,100,1,long,1043
583,0.06521259015526225,0.039378214267421316,-0.011968709808883524,0.142393890119408,250,0.07271498510777606,0.061550015242003625,-0.04792304476655104,0.19335301498210317,EUR_USD,20,100,2,long,833
422,0.07174400495144963,0.04679993014358038,-0.01998385812996792,0.16347186803286717,182,0.031756387888883894,0.07273711932371252,-0.11080836598559264,0.17432114176336044,EUR_USD,20,100,3,long,604
301,-0.02216649456245235,0.055169277975069576,-0.1302982793935887,0.08596529026868402,129,0.12348402998837468,0.08619813377422168,-0.0454643122090998,0.29243237218584917,EUR_USD,20,100,4,long,430
368,-0.011523840885598841,0.05017663678162287,-0.10987004897757965,0.08682236720638198,158,-0.06506757006611567,0.07781820469490255,-0.21759125126812467,0.08745611113589334,EUR_USD,20,150,1,long,526
318,-0.02628480236253436,0.05371667307579044,-0.13156948159108361,0.07899987686601491,137,0.031225359920717243,0.08338072398642274,-0.13220085909267132,0.19465157893410578,EUR_USD,20,150,2,long,455
248,-0.050233813763528604,0.06132725319460344,-0.17043523002495137,0.06996760249789415,107,-0.05514252836923364,0.09470544121741468,-0.24076519315536643,0.13048013641689915,EUR_USD,20,150,3,long,355
190,-0.08995643413241154,0.06930899386712976,-0.22580206211198584,0.045889193847162765,82,-0.02973888731148803,0.10949192725268563,-0.24434306472675185,0.1848652901037758,EUR_USD,20,150,4,long,272
158,-0.026359342816110562,0.07829456771064416,-0.17981669552897311,0.12709800989675202,68,-0.10559356478412418,0.11895570618011801,-0.3387467488971555,0.1275596193289071,EUR_USD,20,200,1,long,226
144,-0.0216438261754601,0.08070608264655484,-0.17982774816270758,0.1365400958117874,63,-0.03309211626913767,0.12416376523050454,-0.27645309612092656,0.21026886358265123,EUR_USD,20,200,2,long,207
127,-0.0038949387526104455,0.08641258861166036,-0.17326361243146474,0.16547373492624387,55,-0.20787050616739267,0.12996491384115197,-0.46260173729605053,0.0468607249612652,EUR_USD,20,200,3,long,182
106,-0.0007171093279150262,0.094333218299722,-0.18561021719537013,0.1841759985395401,46,-0.09649105999004387,0.14458291690673378,-0.37987357712724207,0.18689145714715433,EUR_USD,20,200,4,long,152
56,-0.033824343109691436,0.13211508063165536,-0.292769901147736,0.2251212149283531,24,-0.16666666666666666,0.20559798491465375,-0.569638717099388,0.23630538376605467,EUR_USD,20,250,1,long,80
53,0.06742194660180004,0.13293931693045113,-0.19313911458188418,0.3279830077854843,23,-0.13043478260869565,0.2113793194801729,-0.5447382487898346,0.2838686835724432,EUR_USD,20,250,2,long,76
51,0.010246685490978572,0.13724975421918484,-0.2587628327786237,0.27925620376058086,22,-0.437620856025208,0.1928409798997788,-0.8155891766287744,-0.05965253542164156,EUR_USD,20,250,3,long,73
46,-0.017400901172393003,0.14442683307341894,-0.30047749399629414,0.2656756916515081,21,-0.21652861317442434,0.21444691829857446,-0.6368445730396303,0.20378734669078158,EUR_USD,20,250,4,long,67
695,0.08608124075829296,0.03653489414833068,0.014472848227564825,0.15768963328902108,299,0.07863032030648708,0.05599024597771368,-0.031110561809831738,0.1883712024228059,EUR_USD,20,100,1,short,994
569,0.05585171795763343,0.040519527091997035,-0.023566555142680752,0.13526999105794763,244,0.12032164070249551,0.061871170189721464,-0.0009458528693585544,0.24158913427434958,EUR_USD,20,100,2,short,813
421,0.02852087957755998,0.04729792008687492,-0.06418304379271485,0.12122480294783482,181,0.10534653606408127,0.07223971215621058,-0.036243299762091466,0.24693637189025403,EUR_USD,20,100,3,short,602
312,0.009300334113599144,0.055376336339019956,-0.09923728511087998,0.11783795333807826,135,0.0536933880119921,0.0831851373819404,-0.10934948125661106,0.21673625728059528,EUR_USD,20,100,4,short,447
375,0.04671008772311376,0.049612603019519176,-0.05053061419514382,0.14395078964137134,161,0.07889742344569337,0.07591534656208315,-0.06989665581598961,0.22769150270737634,EUR_USD,20,150,1,short,536
329,0.01342517160059303,0.05337701698030113,-0.09119378168079718,0.11804412488198325,142,0.11114535249641203,0.08044169344351969,-0.04652036665288656,0.2688110716457106,EUR_USD,20,150,2,short,471
