cell,direction,level,pair_or_POOLED,regime_bucket,regime,half,n,mean_R,NW_SE,NW_CI_low
cci,short,pair,GBP_CAD,ATR_low_0_33,low,full,401,0.0028958124231946844,0.051930721717547396,-0.0988884021431982
cci,short,pair,GBP_CAD,ATR_mid_33_67,mid,full,340,-0.0522487950519533,0.04040763789310287,-0.13144776532243493
cci,short,pair,GBP_CAD,ATR_high_67_100,high,h1,208,0.050919144478220026,0.06918725475321484,-0.08468787483808107
cci,short,pair,GBP_CAD,ATR_low_0_33,low,h1,205,-0.042087219341159415,0.06655084724020974,-0.1725268799319705
cci,short,pair,GBP_CAD,ATR_mid_33_67,mid,h1,155,0.02145230002109718,0.048539899146321355,-0.07368590230569266
cci,short,pair,GBP_CAD,ATR_high_67_100,high,h2,197,-0.11827118544849058,0.07251534725661135,-0.2604012660714488
cci,short,pair,GBP_CAD,ATR_low_0_33,low,h2,196,0.04994439156448342,0.06711738782628991,-0.08160568857504481
cci,short,pair,GBP_CAD,ATR_mid_33_67,mid,h2,185,-0.11399836119423883,0.040377722543870044,-0.1931386973802241
cci,short,pair,NZD_CHF,ATR_high_67_100,high,full,328,0.05603821916744849,0.06153086603985935,-0.06456227827067582
cci,short,pair,NZD_CHF,ATR_low_0_33,low,full,460,0.11160874204169605,0.0852516050609032,-0.0554844038776742
cci,short,pair,NZD_CHF,ATR_mid_33_67,mid,full,371,0.05150026003386394,0.0686384063328548,-0.08303101637853147
cci,short,pair,NZD_CHF,ATR_high_67_100,high,h1,163,0.04527936126946692,0.07385445545289832,-0.09947537141821378
cci,short,pair,NZD_CHF,ATR_low_0_33,low,h1,239,0.006481364086318457,0.09675929145147975,-0.18316684715858184
cci,short,pair,NZD_CHF,ATR_mid_33_67,mid,h1,190,0.029203526332116595,0.09822885650237113,-0.16332503241253082
cci,short,pair,NZD_CHF,ATR_high_67_100,high,h2,165,0.06666666666666667,0.09211555808239776,-0.11387982717483293
cci,short,pair,NZD_CHF,ATR_low_0_33,low,h2,221,0.22529853087126728,0.12458173846185874,-0.018881676513975848
cci,short,pair,NZD_CHF,ATR_mid_33_67,mid,h2,181,0.0749056711019965,0.10391534559449228,-0.12876840626320837
cci,short,pair,NZD_JPY,ATR_high_67_100,high,full,355,-0.10211412962014764,0.058920514449643795,-0.21759833794144948
cci,short,pair,NZD_JPY,ATR_low_0_33,low,full,513,-0.08149135977637748,0.06193191048344062,-0.2028779043239211
cci,short,pair,NZD_JPY,ATR_mid_33_67,mid,full,353,-0.10473897041067057,0.0578206434203056,-0.21806743151446956
cci,short,pair,NZD_JPY,ATR_high_67_100,high,h1,176,-0.1590909090909091,0.09689933356050968,-0.34901360286950806
cci,short,pair,NZD_JPY,ATR_low_0_33,low,h1,256,-0.12262789543735914,0.08928260133131939,-0.29762179404674516
cci,short,pair,NZD_JPY,ATR_mid_33_67,mid,h1,169,-0.03499130433832108,0.04549005747520621,-0.12415181698972524
cci,short,pair,NZD_JPY,ATR_high_67_100,high,h2,179,-0.04609226824107496,0.04340754276802894,-0.13117105206641166
cci,short,pair,NZD_JPY,ATR_low_0_33,low,h2,257,-0.04051488845648915,0.08914966605692301,-0.21524823392805825
cci,short,pair,NZD_JPY,ATR_mid_33_67,mid,h2,184,-0.1688006854445133,0.07319783220651449,-0.3122684365692817
cci,short,pair,NZD_USD,ATR_high_67_100,high,full,401,-0.021690905911079576,0.03923244131660387,-0.09858649089162316
cci,short,pair,NZD_USD,ATR_low_0_33,low,full,409,-0.061124694376528114,0.0754563726019983,-0.20901918467644479
cci,short,pair,NZD_USD,ATR_mid_33_67,mid,full,346,0.07423803145636478,0.05306771387419478,-0.029774687737056993
cci,short,pair,NZD_USD,ATR_high_67_100,high,h1,192,0.0,0.05637112180022563,-0.11048739872844224
cci,short,pair,NZD_USD,ATR_low_0_33,low,h1,215,-0.22790697674418606,0.06610214152562326,-0.35746717413440765
cci,short,pair,NZD_USD,ATR_mid_33_67,mid,h1,182,0.053221752109352816,0.06877532985256489,-0.08157789440167437
