row_type,sample,formulation,sleeve,direction,metric,regime_bucket,regime,L,n,mean_R,NW_SE,NW_CI_low,cluster_SE,cluster_CI_low,cluster_CI_high,baseline_n,sleeve_n,excess_mean_R,excess_NW_SE,excess_NW_CI_low,excess_cluster_SE,excess_cluster_CI_low,note
curve,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,long,low_mid_mean,low_mid_mean,low_mid_mean,22,33725,0.05200199125714143,0.013171684454715038,0.026185489725899957,,,,,,,,,,,
curve,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,51971,0.05250359905997162,0.01989124205426918,0.013516764633604031,0.010566080444119042,0.0317940813894983,0.07321311673044495,,,,,,,,
book_generalization,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,long,pair_low_mid_gt_high,pair_low_mid_gt_high,pair_low_mid_gt_high,22,51971,12.0,,,,,,,51971.0,,,,,,12/17 comparable pairs low/mid > high
curve,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,short,bucket_mean,ATR_low_0_33,low,22,20705,0.011677445505786076,0.016472347523180258,-0.020608355639647233,,,,,,,,,,,
curve,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,short,bucket_mean,ATR_mid_33_67,mid,22,15888,-0.0022748659903062763,0.015165010222866008,-0.03199828602712365,,,,,,,,,,,
curve,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,short,bucket_mean,ATR_high_67_100,high,22,17804,-0.005897362455171852,0.015098263851284738,-0.03548995960368994,,,,,,,,,,,
curve,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,short,low_mid_mean,low_mid_mean,low_mid_mean,22,36593,0.005619611355814348,0.01288949772748276,-0.01964380419005186,,,,,,,,,,,
curve,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,short,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,54397,0.0115169738109862,0.019851869508683426,-0.02739269042603331,0.010330635746305435,-0.008731072251772451,0.03176501987374485,,,,,,,,
book_generalization,dislocation_full6_book_descriptive,atr_percentile,dislocation_full6_book,short,pair_low_mid_gt_high,pair_low_mid_gt_high,pair_low_mid_gt_high,22,54397,9.0,,,,,,,54397.0,,,,,,9/17 comparable pairs low/mid > high
book_generalization,full_deployed_v2_book,atr_percentile,full_deployed_v2_book,both,limit_cells_status,not_computed,not_computed,22,0,,,,,,,,,,,,,,"research/v2_executable_regate/seed/ledger_tp05.csv exists but has columns ['strategy', 'pair', 'direction', 'entry_mode', 'entry_ts', 'exit_ts', 'r']; no ATR bucket fields, so limit-cell regime gradient not computed"
