tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
170,-0.03252610909103472,0.0767192898005491,-0.18289591710011094,0.11784369891804151,73,0.0410958904109589,0.11775157039477288,-0.18969718756279594,0.27188896838471377,NZD_USD,20,2,short,243
48,-0.08333333333333333,0.14535763346850764,-0.36823429493160825,0.20156762826494162,21,-0.047619047619047616,0.22335313142016333,-0.48539118520256774,0.3901530899644725,NZD_USD,20,3,long,69
60,0.0,0.13018891098082386,-0.25517026552241473,0.25517026552241473,26,0.0,0.20000000000000004,-0.39200000000000007,0.39200000000000007,NZD_USD,20,3,short,86
263,0.0038022813688212928,0.06177975973107194,-0.1172860477040797,0.1248906104417223,114,-0.17543859649122806,0.09261306406733187,-0.35696020206319856,0.006083009080742413,NZD_USD,55,1,long,377
278,0.050359712230215826,0.060007938686124904,-0.06725584759458897,0.16797527205502064,120,-0.05,0.09155519068396104,-0.22944817374056364,0.1294481737405636,NZD_USD,55,1,short,398
89,-0.07865168539325842,0.10627012709818144,-0.28694113450569403,0.1296377637191772,39,-0.28205128205128205,0.15563512273509847,-0.587096122612075,0.02299355850951096,NZD_USD,55,2,long,128
105,0.06666666666666667,0.0978399180940457,-0.12509957279766293,0.25843290613099623,45,0.022222222222222223,0.1507184440694504,-0.2731859281539006,0.317630372598345,NZD_USD,55,2,short,150
31,-0.03225806451612903,0.1824791693384639,-0.38991723641951825,0.32540110738726025,14,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,NZD_USD,55,3,long,45
35,0.08571428571428572,0.17086742893632048,-0.24918587500090242,0.4206144464294739,16,0.125,0.25617376914899,-0.37710058753202036,0.6271005875320204,NZD_USD,55,3,short,51
193,0.06735751295336788,0.0720048813973435,-0.07377205458542536,0.20848708049216114,84,-0.21428571428571427,0.10721454859092099,-0.4244262295239194,-0.004145199047509152,NZD_USD,100,1,long,277
206,0.019417475728155338,0.06982986158483911,-0.11744905297812933,0.15628400443444,89,-0.056179775280898875,0.1064320009575783,-0.2647864971577523,0.15242694659595457,NZD_USD,100,1,short,295
67,-0.014925373134328358,0.12307777986918386,-0.2561578216779287,0.22630707540927203,30,-0.26666666666666666,0.17897109079679924,-0.6174500046283932,0.08411667129505984,NZD_USD,100,2,long,97
79,0.08860759493670886,0.11278233484378004,-0.13244578135710003,0.3096609712305177,35,0.02857142857142857,0.17142857142857143,-0.30742857142857144,0.3645714285714286,NZD_USD,100,2,short,114
23,0.043478260869565216,0.21299910806810243,-0.37399999094391556,0.46095651268304594,10,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,NZD_USD,100,3,long,33
28,0.14285714285714285,0.1904761904761905,-0.2304761904761905,0.5161904761904762,12,0.16666666666666666,0.2972941950052816,-0.41602995554368527,0.7493632888770185,NZD_USD,100,3,short,40
