tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
75,0.28,0.11159773319406649,0.061268442939629714,0.4987315570603703,33,-0.2727272727272727,0.1700753357624519,-0.6060749308216784,0.06062038536713299,NZD_USD,20,1,long,108
60,-0.03333333333333333,0.13011656370600608,-0.2883617981971052,0.22169513153043857,26,-0.23076923076923078,0.19460170216420797,-0.6121885670110784,0.1506501054726168,NZD_USD,20,1,short,86
35,-0.2571428571428571,0.1657316710671738,-0.5819769324345178,0.06769121814880352,15,-0.2,0.26186146828319085,-0.7132484778350541,0.313248477835054,NZD_USD,20,2,long,50
36,0.16666666666666666,0.16666666666666666,-0.16,0.4933333333333333,16,0.5,0.22360679774997896,0.06173067641004126,0.9382693235899587,NZD_USD,20,2,short,52
12,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,6,0.6666666666666666,0.33333333333333337,0.013333333333333197,1.32,NZD_USD,20,3,long,18
11,-0.2727272727272727,0.30424000964875475,-0.869037691638832,0.32358314618428663,6,0.3333333333333333,0.421637021355784,-0.4930752285240034,1.15974189519067,NZD_USD,20,3,short,17
46,0.17391304347826086,0.14679950448812287,-0.11381398531845999,0.4616400722749817,20,-0.4,0.2102629932151387,-0.8121154667016719,0.012115466701671795,NZD_USD,55,1,long,66
32,-0.0625,0.17925416718060672,-0.4138381676739892,0.2888381676739892,14,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,NZD_USD,55,1,short,46
21,-0.23809523809523808,0.21717627144745486,-0.6637607301322496,0.1875702539417734,9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,NZD_USD,55,2,long,30
23,0.13043478260869565,0.21137931948017294,-0.2838686835724433,0.5447382487898346,10,0.4,0.30550504633038933,-0.19878989080756304,0.9987898908075631,NZD_USD,55,2,short,33
7,-0.42857142857142855,0.36885555678165877,-1.1515283198634798,0.29438546272062266,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,NZD_USD,55,3,long,10
8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,NZD_USD,55,3,short,12
31,0.2903225806451613,0.1747105033255045,-0.05211000587282749,0.6327551671631502,14,-0.42857142857142855,0.25058800551629407,-0.9197239193833648,0.0625810622405078,NZD_USD,100,1,long,45
23,-0.21739130434782608,0.20810192223064325,-0.6252710719198868,0.19048846322423466,11,0.09090909090909091,0.3149183286488867,-0.526330833242727,0.7081490150609089,NZD_USD,100,1,short,34
19,-0.15789473684210525,0.23274559932318592,-0.6140761115155496,0.29828663783133913,9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,NZD_USD,100,2,long,28
19,0.3684210526315789,0.21912273678590868,-0.061059511468802063,0.7979016167319599,9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,NZD_USD,100,2,short,28
