tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,confirm,direction,total_n
252,115,120,17,0.48936170212765956,0.4254480225364988,0.5532753817188203,109,58,48,3,0.5471698113207547,0.45240831955037286,0.6419313030911366,USD_CHF,H4,55,1,short,361
94,48,41,5,0.5393258426966292,0.4357678536518779,0.6428838317413805,41,19,20,2,0.48717948717948717,0.33030549125404296,0.6440534831049314,USD_CHF,H4,55,2,short,135
27,14,12,1,0.5384615384615384,0.3468371904257853,0.7300858864972916,12,5,6,1,0.45454545454545453,0.1602878664116818,0.7488030426792273,USD_CHF,H4,55,3,short,39
191,75,99,17,0.43103448275862066,0.3574509850088657,0.5046179805083757,83,41,38,4,0.5189873417721519,0.40880825684687805,0.6291664266974257,USD_CHF,H4,100,1,long,274
55,21,27,7,0.4375,0.2971586193419774,0.5778413806580226,24,8,14,2,0.36363636363636365,0.16262016242857788,0.5646525648441494,USD_CHF,H4,100,2,long,79
20,6,11,3,0.35294117647058826,0.12576925204214065,0.5801131008990359,9,3,6,0,0.3333333333333333,0.02534904641652591,0.6413176202501407,USD_CHF,H4,100,3,long,29
191,81,97,13,0.4550561797752809,0.38189942289704737,0.5282129366535144,83,44,37,2,0.5432098765432098,0.4347283611424122,0.6516913919440075,USD_CHF,H4,100,1,short,274
69,32,35,2,0.47761194029850745,0.3580059644827897,0.5972179161142251,30,12,15,3,0.4444444444444444,0.25701117633169046,0.6318777125571984,USD_CHF,H4,100,2,short,99
19,10,9,0,0.5263157894736842,0.3017999815449016,0.7508315974024667,9,4,5,0,0.4444444444444444,0.11980050104447498,0.7690883878444139,USD_CHF,H4,100,3,short,28
637,319,317,1,0.5015723270440252,0.4627129914823185,0.5404316626057319,273,117,156,0,0.42857142857142855,0.3698674777150011,0.487275379427856,NZD_USD,H4,10,1,long,910
224,97,127,0,0.4330357142857143,0.3681466111702836,0.497924817401145,97,43,54,0,0.44329896907216493,0.3444369268289119,0.5421610113154179,NZD_USD,H4,10,2,long,321
72,28,44,0,0.3888888888888889,0.27628259099008295,0.5014951867876948,31,15,16,0,0.4838709677419355,0.3079493737374329,0.6597925617464381,NZD_USD,H4,10,3,long,103
669,328,340,1,0.49101796407185627,0.45310674428325376,0.5289291838604588,288,141,146,1,0.4912891986062718,0.4334504070576153,0.5491279901549283,NZD_USD,H4,10,1,short,957
232,110,121,1,0.47619047619047616,0.4117843573185231,0.5405965950624292,100,49,51,0,0.49,0.3920196019603921,0.5879803980396079,NZD_USD,H4,10,2,short,332
79,34,44,1,0.4358974358974359,0.3258499908452623,0.5459448809496095,35,17,18,0,0.4857142857142857,0.3201316779319464,0.651296893496625,NZD_USD,H4,10,3,short,114
452,228,224,0,0.504424778761062,0.45833126121555473,0.5505182963065692,194,78,116,0,0.4020618556701031,0.33306492486465056,0.47105878647555566,NZD_USD,H4,20,1,long,646
