tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,tr_edge,tr_edge_ci_low,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,te_edge,te_edge_ci_low,pair,tf,period,confirm,stop_pct,tp_pct,rr_label,be_wr,direction,total_n
424,78,246,100,0.24074074074074073,0.19418712570780702,0.28729435577367446,-0.09259259259259264,-0.13914620762552635,183,28,95,60,0.22764227642276422,0.1535386908036089,0.30174586204191955,-0.10569105691056915,-0.17979464252972446,EUR_USD,H4,20,1,0.01,0.02,1/2,0.33333333333333337,long,607
138,59,65,14,0.47580645161290325,0.3879029394080027,0.5637099638178038,-0.024193548387096753,-0.11209706059199731,60,25,25,10,0.5,0.3614070708874367,0.6385929291125634,0.0,-0.13859292911256332,EUR_USD,H4,20,2,0.01,0.01,1/1,0.5,long,198
138,24,74,40,0.24489795918367346,0.15975701960795152,0.3300388987593954,-0.0884353741496599,-0.17357631372538185,60,10,28,22,0.2631578947368421,0.12314768953946731,0.4031680999342169,-0.07017543859649128,-0.21018564379386606,EUR_USD,H4,20,2,0.01,0.02,1/2,0.33333333333333337,long,198
49,23,23,3,0.5,0.3555068829682008,0.6444931170317991,0.0,-0.14449311703179918,21,7,10,4,0.4117647058823529,0.17781004090730612,0.6457193708573997,-0.08823529411764708,-0.3221899590926939,EUR_USD,H4,20,3,0.01,0.01,1/1,0.5,long,70
49,11,26,12,0.2972972972972973,0.15001976395988345,0.44457483063471115,-0.03603603603603606,-0.18331356937344992,21,1,10,10,0.09090909090909091,0.0,0.26079878862921463,-0.24242424242424246,-0.33333333333333337,EUR_USD,H4,20,3,0.01,0.02,1/2,0.33333333333333337,long,70
439,196,200,43,0.494949494949495,0.44570515440405767,0.5441938354949323,-0.0050505050505050275,-0.05429484559594233,189,76,97,16,0.4393063583815029,0.36534930833902146,0.5132634084239843,-0.06069364161849711,-0.13465069166097854,EUR_USD,H4,20,1,0.01,0.01,1/1,0.5,short,628
439,72,238,129,0.23225806451612904,0.18525044516853956,0.27926568386371853,-0.10107526881720433,-0.1480828881647938,189,20,102,67,0.16393442622950818,0.09823956356804533,0.22962928889097103,-0.16939890710382519,-0.23509376976528804,EUR_USD,H4,20,1,0.01,0.02,1/2,0.33333333333333337,short,628
144,67,65,12,0.5075757575757576,0.4222874975885279,0.5928640175629872,0.007575757575757569,-0.0777125024114721,63,27,27,9,0.5,0.36663889178180475,0.6333611082181952,0.0,-0.13336110821819525,EUR_USD,H4,20,2,0.01,0.01,1/1,0.5,short,207
144,22,74,48,0.22916666666666666,0.14508981862087694,0.3132435147124564,-0.10416666666666671,-0.18824351471245643,63,6,32,25,0.15789473684210525,0.041955272166308205,0.2738342015179023,-0.17543859649122812,-0.29137806116702514,EUR_USD,H4,20,2,0.01,0.02,1/2,0.33333333333333337,short,207
34,16,15,3,0.5161290322580645,0.3402074382535619,0.6920506262625671,0.016129032258064502,-0.15979256174643808,15,8,5,2,0.6153846153846154,0.35091788956280356,0.8798513412064273,0.11538461538461542,-0.14908211043719644,EUR_USD,H4,20,3,0.01,0.01,1/1,0.5,short,49
34,5,15,14,0.25,0.06022381603583657,0.4397761839641634,-0.08333333333333337,-0.2731095172974968,15,1,6,8,0.14285714285714285,0.0,0.4020867707934573,-0.19047619047619052,-0.33333333333333337,EUR_USD,H4,20,3,0.01,0.02,1/2,0.33333333333333337,short,49
244,96,128,20,0.42857142857142855,0.36376402158734994,0.49337883555550716,-0.07142857142857145,-0.13623597841265006,106,44,47,15,0.4835164835164835,0.3808404105139186,0.5861925565190484,-0.01648351648351648,-0.11915958948608141,EUR_USD,H4,55,1,0.01,0.01,1/1,0.5,long,350
244,45,138,61,0.2459016393442623,0.18351016665438616,0.3082931120341384,-0.08743169398907108,-0.1498231666789472,106,17,55,34,0.2361111111111111,0.13801243822115342,0.3342097840010688,-0.09722222222222227,-0.19532089511217995,EUR_USD,H4,55,1,0.01,0.02,1/2,0.33333333333333337,long,350
80,37,37,6,0.5,0.3860773140310571,0.6139226859689428,0.0,-0.1139226859689429,35,12,18,5,0.4,0.2246922705640165,0.5753077294359835,-0.09999999999999998,-0.2753077294359835,EUR_USD,H4,55,2,0.01,0.01,1/1,0.5,long,115
80,15,41,24,0.26785714285714285,0.1518695357605224,0.3838447499537633,-0.06547619047619052,-0.18146379757281098,35,4,20,11,0.16666666666666666,0.017564414901371422,0.31576891843196186,-0.1666666666666667,-0.315768918431962,EUR_USD,H4,55,2,0.01,0.02,1/2,0.33333333333333337,long,115
26,14,11,1,0.56,0.36541631723086343,0.7545836827691367,0.06000000000000005,-0.13458368276913657,12,4,6,2,0.4,0.09635810565733854,0.7036418943426614,-0.09999999999999998,-0.40364189434266146,EUR_USD,H4,55,3,0.01,0.01,1/1,0.5,long,38
26,8,13,5,0.38095238095238093,0.17324888858708454,0.5886558733176773,0.04761904761904756,-0.16008444474624883,12,0,6,6,0.0,0.0,0.0,-0.33333333333333337,-0.33333333333333337,EUR_USD,H4,55,3,0.01,0.02,1/2,0.33333333333333337,long,38
259,116,118,25,0.49572649572649574,0.4316642316271657,0.5597887598258258,-0.004273504273504258,-0.06833576837283428,112,44,59,9,0.42718446601941745,0.3316516502779636,0.5227172817608713,-0.07281553398058255,-0.16834834972203638,EUR_USD,H4,55,1,0.01,0.01,1/1,0.5,short,371
259,48,142,69,0.25263157894736843,0.19084552478233735,0.3144176331123995,-0.08070175438596494,-0.14248780855099602,112,14,62,36,0.18421052631578946,0.09705487644573366,0.27136617618584524,-0.1491228070175439,-0.2362784568875997,EUR_USD,H4,55,1,0.01,0.02,1/2,0.33333333333333337,short,371
83,39,37,7,0.5131578947368421,0.40078311629627306,0.6255326731774112,0.013157894736842146,-0.09921688370372694,36,12,16,8,0.42857142857142855,0.24526840077319495,0.6118744563696621,-0.07142857142857145,-0.25473159922680505,EUR_USD,H4,55,2,0.01,0.01,1/1,0.5,short,119
83,12,42,29,0.2222222222222222,0.11133520540600683,0.3331092390384376,-0.11111111111111116,-0.22199812792732654,36,1,16,19,0.058823529411764705,0.0,0.1706752529579324,-0.27450980392156865,-0.33333333333333337,EUR_USD,H4,55,2,0.01,0.02,1/2,0.33333333333333337,short,119
18,8,8,2,0.5,0.255,0.745,0.0,-0.245,9,6,3,0,0.6666666666666666,0.3586823797498592,0.974650953583474,0.16666666666666663,-0.14131762025014077,EUR_USD,H4,55,3,0.01,0.01,1/1,0.5,short,27
