tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,k_period,d_period,threshold,recovery,direction,total_n
58,-0.030385263985556746,0.12697375982841397,-0.27925383324924813,0.21848330527813464,25,0.1093441604323226,0.19477532279966486,-0.27241547225502055,0.49110379311966573,EUR_USD,9,3,15,4,short,83
414,0.06073781491046963,0.04746153512577336,-0.032286793936046165,0.15376242375698543,178,-0.04113098750716186,0.07191400810464393,-0.18208244339226398,0.09982046837794024,EUR_USD,9,3,20,1,short,592
227,0.06873141497761161,0.0632228018193737,-0.05518527658836085,0.19264810654358405,98,-0.003475718486945847,0.09998150925777965,-0.19943947663219394,0.19248803965830227,EUR_USD,9,3,20,2,short,325
130,-0.06286071542603987,0.08541789855134946,-0.2302797965866848,0.10455836573460507,56,-0.0005082717491098977,0.1294142407352762,-0.2541601835902512,0.25314364009203144,EUR_USD,9,3,20,3,short,186
74,-0.011946476910361107,0.11249109502115931,-0.23242902315183334,0.20853606933111113,32,0.11667512533775207,0.17281394042922363,-0.22204019790352622,0.4553904485790303,EUR_USD,9,3,20,4,short,106
460,0.06542536225204441,0.04491194011107115,-0.022602040365655038,0.15345276486974385,198,-0.03628300586335821,0.06818851033649583,-0.16993248612289003,0.09736647439617362,EUR_USD,9,3,25,1,short,658
256,0.056956826415634654,0.059653630248948736,-0.05996428887230487,0.17387794170357418,110,0.0076056669307157515,0.09404765389621017,-0.17672773470585618,0.1919390685672877,EUR_USD,9,3,25,2,short,366
144,-0.05674925698184146,0.08138977960983877,-0.21627322501712545,0.10277471105344252,63,-0.03134146454595396,0.12076976995108803,-0.2680502136500865,0.20536728455817857,EUR_USD,9,3,25,3,short,207
79,0.0014678570713073011,0.10911748781121654,-0.2124024190386771,0.21533813318129172,34,0.050988353259060766,0.16880878086249965,-0.27987685723143857,0.3818535637495601,EUR_USD,9,3,25,4,short,113
515,0.06727518033128456,0.04250772609906531,-0.016039962822883447,0.15059032348545257,221,-0.08952749320691837,0.06449122139641372,-0.2159302871438893,0.03687530073005253,EUR_USD,9,3,30,1,short,736
280,0.02375700234839388,0.057152721170900575,-0.08826233114657124,0.135776335843359,121,0.015178705474204402,0.0897768776724125,-0.1607839747637241,0.19114138571213293,EUR_USD,9,3,30,2,short,401
159,-0.0325276289646866,0.07770876699633966,-0.1848368122775123,0.11978155434813913,69,-0.044923185762285954,0.11486735304168011,-0.27006319772397896,0.18021682619940704,EUR_USD,9,3,30,3,short,228
83,0.03159758508013731,0.10603958166239122,-0.17623999497814946,0.2394351651384241,36,-0.007399888588664836,0.16441186223256796,-0.32964713856449807,0.31484736138716835,EUR_USD,9,3,30,4,short,119
339,0.018327607872134385,0.052142561359044465,-0.08387181239159276,0.12052702813586154,146,0.10542449132969393,0.08006662157871491,-0.05150608696458729,0.26235506962397515,EUR_USD,14,3,15,1,long,485
175,0.05550192685027326,0.07305944498808328,-0.08769458532636996,0.19869843902691647,75,-0.19175590005672982,0.11122361471642632,-0.4097541849009254,0.026242384787465767,EUR_USD,14,3,15,2,long,250
109,0.11190623159477989,0.08937944822988131,-0.06327748693578747,0.2870899501253472,47,-0.014619802794039547,0.14456782137422633,-0.29797273268752317,0.268733127099444,EUR_USD,14,3,15,3,long,156
51,0.3280517038675363,0.12580494438664097,0.08147401286972,0.5746293948653526,23,0.13043478260869565,0.21137931948017294,-0.2838686835724433,0.5447382487898346,EUR_USD,14,3,15,4,long,74
397,0.03300888469580148,0.048148129028626974,-0.06136144820030739,0.12737921759191034,171,0.10203348327518914,0.07408640944999549,-0.04317587924680201,0.2472428457971803,EUR_USD,14,3,20,1,long,568
