tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
629,0.1250681493656042,0.03836843484755625,0.04986601706439396,0.20027028166681443,270,0.11785904462495227,0.05991671834583844,0.00042227666710892287,0.2352958125827956,USD_CHF,20,1.0,close_breakout,short,899
1687,-0.07633570737627528,0.023442687361005004,-0.12228337460384509,-0.03038804014870547,723,-0.05372947781724257,0.03625164578170794,-0.12478270354939014,0.017323747914904992,USD_CHF,20,1.0,range_expansion,long,2410
1689,0.05345698665354821,0.02360692036278648,0.007187422742486703,0.09972655056460972,724,0.040613194328898726,0.03657021813910707,-0.031064433223751124,0.11229082188154857,USD_CHF,20,1.0,range_expansion,short,2413
214,-0.05404225396855008,0.06669721067609631,-0.18476878689369886,0.07668427895659868,93,0.0033734438036081343,0.10188773447457374,-0.19632651576655638,0.20307340337377264,USD_CHF,20,1.5,close_breakout,long,307
248,0.17071864296979958,0.06121183286199452,0.050743450560290324,0.2906938353793088,107,0.23127104585456937,0.0932497877401861,0.048501461883804636,0.41404062982533407,USD_CHF,20,1.5,close_breakout,short,355
730,-0.10060385469271939,0.03584397716752221,-0.1708580499410629,-0.030349659444375857,313,-0.055084617416046526,0.05530093035462371,-0.163474440911109,0.05330520607901595,USD_CHF,20,1.5,range_expansion,long,1043
807,0.10816197572284887,0.03394855427388792,0.04162280934602855,0.1747011420996692,346,0.10893710755540796,0.05277573578028645,0.005496665426046515,0.2123775496847694,USD_CHF,20,1.5,range_expansion,short,1153
1690,0.027060170538431412,0.024320156088553882,-0.020607335395134194,0.07472767647199702,725,-0.06248544376504426,0.03707891329132657,-0.13516011381604434,0.010189226285955817,NZD_USD,14,0.5,close_breakout,long,2415
1682,-0.0025645904376324523,0.024386328575524755,-0.05036179444566097,0.04523261357039607,721,0.02046037304868859,0.0372487620094198,-0.05254720048977422,0.0934679465871514,NZD_USD,14,0.5,close_breakout,short,2403
2766,-0.0009691258053679978,0.0190135996108243,-0.03823578104258362,0.03629752943184763,1186,-0.03735408661859788,0.029023086410101782,-0.09423933598239737,0.019531162745201607,NZD_USD,14,0.5,range_expansion,long,3952
2770,0.007829010427401521,0.019001318726187183,-0.029413574275925357,0.0450715951307284,1188,0.02356902356902357,0.029017098365971352,-0.033304489228280276,0.08044253636632742,NZD_USD,14,0.5,range_expansion,short,3958
552,-0.01860201411241109,0.04257612462374001,-0.10205121837494151,0.06484719015011932,237,-0.12236286919831224,0.06460529863094075,-0.2489892545149561,0.004263516118331617,NZD_USD,14,1.0,close_breakout,long,789
574,0.008231567028380763,0.041740532969908144,-0.07357987759263919,0.09004301164940072,246,-0.04065040650406504,0.06383484891918297,-0.16576671038566365,0.08446589737753357,NZD_USD,14,1.0,close_breakout,short,820
1700,0.01959964589550125,0.02424804966657851,-0.02792653145099263,0.06712582324199512,729,-0.048425166981696965,0.03700593361518513,-0.12095679686745982,0.024106462904065887,NZD_USD,14,1.0,range_expansion,long,2429
1752,0.015802716257935053,0.023891153136615214,-0.031023943889830766,0.06262937640570088,752,-0.031914893617021274,0.03647192962475591,-0.10339987568154285,0.0395700884475003,NZD_USD,14,1.0,range_expansion,short,2504
179,-0.08529783122933476,0.07458230384969698,-0.23147914677474085,0.060883484316071323,78,-0.07692307692307693,0.11362291475015328,-0.29962398983337735,0.1457778359872235,NZD_USD,14,1.5,close_breakout,long,257
