tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
1052,0.007645506924400385,0.030538502736075016,-0.05220995843830664,0.06750097228710741,452,-0.0708220586740424,0.04573572864552139,-0.16046408681926433,0.018819969471179518,GBP_USD,20,1.0,range_expansion,long,1504
1048,0.023715642935830197,0.03065014322719788,-0.03635863778947765,0.08378992366113804,450,-0.000572586370681923,0.046101050456031425,-0.09093064526450352,0.08978547252313966,GBP_USD,20,1.0,range_expansion,short,1498
164,-0.03229365759679952,0.07758427129492403,-0.18435882933485062,0.11977151414125156,71,-0.031473599973803223,0.11605449813753282,-0.25894041632336756,0.19599321637576111,GBP_USD,20,1.5,close_breakout,long,235
173,0.029759938291421064,0.07570981906956704,-0.11863130708493033,0.17815118366777247,75,0.04757066697096349,0.11454545940031281,-0.17693843345364962,0.2720797673955766,GBP_USD,20,1.5,close_breakout,short,248
492,-0.0290449967103304,0.044651612557865046,-0.11656215732374589,0.0584721639030851,211,0.011240591047621686,0.06674574650684008,-0.11958107210578486,0.14206225420102822,GBP_USD,20,1.5,range_expansion,long,703
502,0.016791470085710525,0.04434124686306493,-0.07011737376589675,0.1037003139373178,216,-0.03840312908358154,0.06660614276607392,-0.1689511689050864,0.09214491073792333,GBP_USD,20,1.5,range_expansion,short,718
1262,-0.017095780547599977,0.028047739834825076,-0.07206935062385712,0.03787778952865717,541,-0.025681029392311695,0.042854849145298114,-0.109676533717096,0.05831447493247262,AUD_USD,14,0.5,close_breakout,long,1803
1215,-0.003590561535999695,0.028617510445814225,-0.05968088200979557,0.05249975893779618,521,0.037593037032079654,0.04378699308215488,-0.04822946940894392,0.12341554347310323,AUD_USD,14,0.5,close_breakout,short,1736
1915,-0.012789000866274703,0.02273463168160375,-0.05734887896221805,0.03177087722966865,821,0.03718765337041731,0.034789375828337674,-0.030999523253124536,0.10537482999395915,AUD_USD,14,0.5,range_expansion,long,2736
1833,-0.008130114320679059,0.023302621806326584,-0.053803253061079165,0.037543024419721044,786,0.00020113358310243451,0.03557117443268089,-0.0695183683049521,0.06992063547115697,AUD_USD,14,0.5,range_expansion,short,2619
413,-0.07121246213726797,0.04882080853493031,-0.16690124686573138,0.024476322591195435,177,-0.13869644415963184,0.07449901191091604,-0.28471450750502725,0.0073216191857636,AUD_USD,14,1.0,close_breakout,long,590
