tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
5,-0.05126119420165494,0.45014187766856323,-0.9335392744320389,0.8310168860287289,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,USD_CAD,100,3,short,8,34,18
123,-0.21867033444274223,0.085433257166575,-0.3861195184892292,-0.051221150396255216,53,0.21970477782945355,0.13060071738469875,-0.03627262824455599,0.47568218390346306,USD_CHF,10,1,long,176,918,248
117,0.0733809382019317,0.08938362115045445,-0.10181095925295902,0.24857283565682242,51,-0.0933516060038307,0.1368843343837347,-0.36164490139595074,0.17494168938828936,USD_CHF,10,1,short,168,885,236
38,-0.023073090793822592,0.15533929107427918,-0.3275381012994098,0.28139191971176464,17,-0.14664156215751029,0.23478400206143343,-0.6068182061979198,0.31353508188289925,USD_CHF,10,2,long,55,300,79
36,0.33073455225609627,0.15456753530334175,0.02778218306154645,0.6336869214506461,16,-0.06936770394956715,0.24945844909448517,-0.558306264174758,0.4195708562756238,USD_CHF,10,2,short,52,298,90
11,-0.37571365276296015,0.2657773341346472,-0.8966372276668686,0.14520992214094836,6,-0.1932505274351123,0.40005694017215127,-0.9773621301725287,0.5908610753023041,USD_CHF,10,3,long,17,84,27
13,0.22484624740557857,0.26330485303587203,-0.2912312645447306,0.7409237593558877,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,USD_CHF,10,3,short,19,100,35
90,-0.19507235592663297,0.09965445913325667,-0.39039509582781606,0.0002503839745501002,39,-0.034484484048589704,0.15697819332499002,-0.34216174296557017,0.2731927748683907,USD_CHF,20,1,long,129,635,177
95,0.06491549267066044,0.09837047751609966,-0.1278906432608949,0.25772162860221576,41,-0.15288615257233942,0.15443378286924456,-0.45557636699605875,0.14980406185137993,USD_CHF,20,1,short,136,626,188
28,-0.1027420517916164,0.17687715527539877,-0.449421276131398,0.24393717254816522,13,0.04562299127396616,0.2810774524145637,-0.5052888154585787,0.5965347980065111,USD_CHF,20,2,long,41,204,59
30,0.1974333738757507,0.1771525132256142,-0.14978555204645314,0.5446522997979545,13,-0.00845255870715957,0.2774788688743251,-0.5523111417008367,0.5354060242865176,USD_CHF,20,2,short,43,216,75
8,-0.1416062725490702,0.33172935918037927,-0.7917958165426136,0.5085832714444731,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,USD_CHF,20,3,long,12,56,21
11,0.23621488871400684,0.2848083283219773,-0.32200943479706856,0.7944392122250823,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,USD_CHF,20,3,short,16,71,31
72,-0.2967203566847037,0.1083705830689394,-0.5091266994998249,-0.08431401386958248,31,-0.04338370573854831,0.17508124840323996,-0.38654295260889865,0.299775541131802,USD_CHF,55,1,long,103,372,143
81,0.03215173348177421,0.107843281383652,-0.17922109803018368,0.24352456499373212,35,-0.06480949301331188,0.16884429885852228,-0.39574431877601557,0.26612533274939176,USD_CHF,55,1,short,116,362,154
