tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
31,0.11326799429989648,0.17912901954777413,-0.2378248840137408,0.46436087261353376,14,-0.19842807328278006,0.26205082231670596,-0.7120476850235238,0.3151915384579636,GBP_USD,10,3,long,45,87,45
31,-0.22580645161290322,0.17785869357535775,-0.5744094910206043,0.12279658779479793,14,0.42857142857142855,0.25058800551629407,-0.0625810622405078,0.9197239193833648,GBP_USD,10,3,short,45,84,45
205,-0.010656417100867115,0.06934071782856038,-0.14656422404484548,0.12525138984311124,88,-0.0610151152856716,0.10444345782727536,-0.2657242926271313,0.1436940620557881,GBP_USD,20,1,long,293,644,293
214,0.0424864295424483,0.06789453134328496,-0.09058685189039023,0.17555971097528683,92,0.20504290111098872,0.10030666892005359,0.008441830027683672,0.40164397219429376,GBP_USD,20,1,short,306,594,307
78,-0.007044664629345934,0.11141445186413722,-0.2254169902830549,0.211327661024363,34,-0.015896339225566932,0.16307776847817793,-0.33552876544279564,0.30373608699166177,GBP_USD,20,2,long,112,223,112
79,-0.1175749000723615,0.1111821513595945,-0.3354919167371667,0.1003421165924437,34,-0.01841531602182577,0.1718315291450189,-0.3552051131460628,0.31837448110241123,GBP_USD,20,2,short,113,191,113
23,0.13043478260869565,0.21137931948017294,-0.2838686835724433,0.5447382487898346,11,-0.16163572963262915,0.29790022576954855,-0.7455201721409443,0.422248712875686,GBP_USD,20,3,long,34,63,34
23,-0.21739130434782608,0.20810192223064325,-0.6252710719198868,0.19048846322423466,10,0.4,0.30550504633038933,-0.19878989080756304,0.9987898908075631,GBP_USD,20,3,short,33,52,33
149,-0.030236059735709715,0.08174051548708486,-0.19044747009039603,0.12997535061897658,64,0.04110421648220155,0.1217172756311098,-0.19746164375477365,0.27967007671917676,GBP_USD,55,1,long,213,383,213
166,-0.0057831264621522336,0.07701917610891004,-0.15674071163561593,0.14517445871131146,72,0.21751610031627455,0.11332790917281628,-0.004606601662445364,0.43963880229499447,GBP_USD,55,1,short,238,348,238
60,-0.08141390622365481,0.1279985602364232,-0.33229108428704424,0.16946327183973464,26,0.13305863332041246,0.18139265654961528,-0.22247097351683348,0.4885882401576584,GBP_USD,55,2,long,86,129,86
63,-0.07106796360055942,0.12589628137755926,-0.31782467510057555,0.17568874789945674,28,-0.1652185980265027,0.18678378027484804,-0.5313148073652049,0.20087761131219947,GBP_USD,55,2,short,91,123,91
17,0.29411764705882354,0.2389423060187047,-0.17420927273783765,0.7624445668554847,8,-0.20438993108303985,0.32003063481114014,-0.8316499753128744,0.4228701131467948,GBP_USD,55,3,long,25,33,25
16,-0.25,0.25,-0.74,0.24,8,0.25,0.3659625273556999,-0.46728655361717175,0.9672865536171718,GBP_USD,55,3,short,24,30,24
120,-0.07920977417183957,0.09079635842467712,-0.2571706366842067,0.09875108834052758,52,0.11548418350835811,0.13585944389441607,-0.15080032652469738,0.3817686935414136,GBP_USD,100,1,long,172,281,172
132,-0.031430784801787535,0.08647747302506197,-0.20092663193090898,0.1380650623273339,57,0.11027974002640405,0.12879149801807738,-0.1421515960890276,0.36271107614183573,GBP_USD,100,1,short,189,253,189
48,0.010652246318683148,0.14469546993228216,-0.27295087474858987,0.2942553673859562,21,-0.03510878181831627,0.2057671071706032,-0.4384123118726986,0.368194748236066,GBP_USD,100,2,long,69,98,69
48,-0.15577670222573423,0.14289157277438075,-0.4358441848635205,0.12429078041205202,21,-0.23809523809523808,0.21717627144745486,-0.6637607301322496,0.1875702539417734,GBP_USD,100,2,short,69,89,69
15,0.414800464936072,0.2336908388168636,-0.04323357914498066,0.8728345090171246,7,-0.42857142857142855,0.36885555678165877,-1.1515283198634798,0.29438546272062266,GBP_USD,100,3,long,22,26,22
13,-0.23076923076923078,0.2808833628231621,-0.7813006219026286,0.319762160364167,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,GBP_USD,100,3,short,19,22,19
269,-0.15850390091405173,0.0599644623075323,-0.276034247036815,-0.04097355479128842,116,0.057907260810383575,0.09272283618995265,-0.12382949812192362,0.23964401974269078,AUD_USD,10,1,long,385,966,388
268,-0.03769595867069255,0.06054820166970679,-0.15637043394331787,0.08097851660193275,115,-0.00031495788610986977,0.0932510127150535,-0.1830869428076147,0.182457027035395,AUD_USD,10,1,short,383,925,384
84,-0.030696117073817735,0.10855449368908754,-0.2434629247044293,0.18207069055679384,37,0.1499195268221444,0.16296239740887547,-0.16948677209925153,0.4693258257435403,AUD_USD,10,2,long,121,306,122
93,0.18695971900626862,0.101388250644095,-0.011761252256157567,0.3856806902686948,41,-0.024390243902439025,0.15806684630263076,-0.33420126265559535,0.28542077485071726,AUD_USD,10,2,short,134,303,134
31,0.16129032258064516,0.1801837425002444,-0.19186981271983386,0.5144504578811242,14,0.1766135958037079,0.26562664739784175,-0.3440146330960619,0.6972418247034777,AUD_USD,10,3,long,45,104,45
39,0.2660666098919617,0.15451146225574766,-0.03677585612930373,0.5689090759132271,17,-0.17647058823529413,0.24607647839237515,-0.6587804858843495,0.30583930941376114,AUD_USD,10,3,short,56,105,56
211,-0.14824707284213093,0.0681643475322947,-0.2818491940054285,-0.01464495167883334,91,0.1067828819121373,0.10426925603780038,-0.09758485992195143,0.31115062374622604,AUD_USD,20,1,long,302,699,305
205,-0.021076890381650393,0.06925380847176561,-0.156814354986311,0.11466057422301021,88,-0.057229774510257216,0.10642443892792496,-0.2658216748089901,0.1513621257884757,AUD_USD,20,1,short,293,650,293
