tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
53,0.3552959677040487,0.1258121346384866,0.10870418381261499,0.6018877515954824,24,0.212590283944568,0.18282310180501227,-0.14574299559325601,0.570923563482392,USD_CAD,14,2.5,long,77,268,78
61,0.0020524292830770576,0.12531489585919728,-0.2435647666009496,0.24766962516710372,27,-0.1005935297387586,0.16948028405698637,-0.4327748864904519,0.2315878270129347,USD_CAD,14,2.5,short,88,268,88
41,0.35166129704663984,0.14630515688883775,0.06490318954451785,0.6384194045487619,18,0.12769298755104952,0.21289180755710216,-0.2895749552608707,0.5449609303629697,USD_CAD,14,3.0,long,59,214,60
47,0.052657042000337724,0.14293449576670944,-0.22749456970241277,0.3328086537030882,21,-0.10918609617358573,0.1908621085568738,-0.48327582894505833,0.2649036365978869,USD_CAD,14,3.0,short,68,214,68
150,0.0540173997183183,0.0793446387846593,-0.10149809229961394,0.20953289173625056,65,0.1547135711187516,0.11576567947560834,-0.07218716065344072,0.38161430289094395,USD_CAD,21,1.5,long,215,542,218
160,-0.006681722397649392,0.07677243610850613,-0.1571556971703214,0.14379225237502263,69,0.03736131137797597,0.10683914025881147,-0.1720434035292945,0.24676602628524644,USD_CAD,21,1.5,short,229,541,230
83,0.24235947256514678,0.10300360106396453,0.040472414479776314,0.4442465306505172,36,0.06921461859350132,0.16425927291746015,-0.25273355632472055,0.3911627935117232,USD_CAD,21,2.0,long,119,367,121
95,0.0017381974447515179,0.10002207988201284,-0.19430507912399364,0.19778147401349666,42,0.016377516610546334,0.13897637970062549,-0.25601618760267963,0.28877122082377227,USD_CAD,21,2.0,short,137,366,137
51,0.3428816218521576,0.13013356751042138,0.08781982953173167,0.5979434141725835,23,0.17835507889867963,0.18757467542503084,-0.1892912849343808,0.5460014427317401,USD_CAD,21,2.5,long,74,269,75
62,-0.00032633588917333373,0.12330006775527659,-0.24199446868951544,0.24134179691116878,28,-0.03999641375896289,0.17147528236422688,-0.3760879671928476,0.2960951396749218,USD_CAD,21,2.5,short,90,269,90
40,0.28545282947280587,0.15173248624533764,-0.011942843568055916,0.5828485025136676,18,0.20809888831759465,0.2028673491095438,-0.18952111593711118,0.6057188925723005,USD_CAD,21,3.0,long,58,214,59
47,0.010103850510976021,0.14313744534544393,-0.2704455423660941,0.2906532433880461,21,-0.10918609617358573,0.1908621085568738,-0.48327582894505833,0.2649036365978869,USD_CAD,21,3.0,short,68,214,68
140,-0.13318229794593206,0.0809244616807856,-0.29179424284027183,0.025429646948407714,61,-0.12795298806778754,0.12700768385481145,-0.376888048423218,0.1209820722876429,USD_CHF,7,1.5,long,201,516,203
130,0.05079444672670607,0.08539575810810944,-0.11658123916518842,0.21817013261860058,57,-0.032021575627462696,0.13186443413278331,-0.290475866527718,0.2264327152727926,USD_CHF,7,1.5,short,187,516,190
92,-0.13615915012981913,0.10101319897493952,-0.3341450201207006,0.06182671986106231,40,0.07470291146761729,0.15766102923857492,-0.23431270583998956,0.38371852877522417,USD_CHF,7,2.0,long,132,360,132
80,0.025262037190769783,0.10862279025255564,-0.18763863170423928,0.23816270608577883,35,0.13259287017793384,0.16518139200758208,-0.19116265815692704,0.45634839851279474,USD_CHF,7,2.0,short,115,360,116
70,-0.09355176756400775,0.11754324284374287,-0.32393652353774377,0.1368329884097283,30,-0.06666666666666667,0.18528222234124034,-0.4298198224554977,0.2964864891221644,USD_CHF,7,2.5,long,100,280,100
