strategy,pair,direction,tp_R,n,mean_R,se_R,ci_lo_R,ci_hi_R,win_rate
macd,NZD_JPY,long,0.6,134,0.15820895522388065,0.06202633108083204,0.03663734630544985,0.27978056414231145,0.7238805970149254
macd,NZD_USD,short,0.6,222,0.10270270270270272,0.04981282039707921,0.00506957472442747,0.200335830680978,0.6891891891891891
rsi,CHF_JPY,long,0.6,565,0.11525500050792419,0.030788642908380143,0.054909260407499105,0.17560074060834927,0.6938053097345133
rsi,EUR_GBP,long,0.6,394,0.13632119744859575,0.0345175839391858,0.06866673292779157,0.20397566196939992,0.6954314720812182
rsi,USD_JPY,long,0.6,1191,0.06505196247721563,0.021761130717795642,0.022400146270336173,0.10770377868409509,0.6641477749790092
sma,CAD_JPY,long,0.6,257,0.12684824902723732,0.04563656626115408,0.03740057915537533,0.21629591889909933,0.7042801556420234
sma,EUR_CAD,long,0.6,401,0.11929461608326439,0.03538596346509171,0.04993812769168464,0.18865110447484412,0.6882793017456359
sma,EUR_GBP,long,0.6,269,0.09820529244133283,0.04204438404885561,0.015798299705575836,0.18061228517708983,0.6394052044609665
stoch,CAD_CHF,short,0.6,1685,0.10494940659138531,0.017919181375769637,0.06982781109487682,0.1400710020878938,0.6896142433234421
stoch,CHF_JPY,long,0.6,1765,0.05192648441783736,0.017880458665867884,0.016880785432736307,0.08697218340293841,0.6543909348441926
stoch,EUR_GBP,long,0.6,1920,0.08182668735490033,0.01623479050167787,0.050006497971611705,0.11364687673818895,0.6583333333333333
stoch,USD_JPY,long,0.6,1884,0.04387182887237127,0.017388251036270994,0.009790856841280123,0.0779528009034624,0.6470276008492569
atr,EUR_NOK,long,0.7,489,0.124901002486109,0.03604481443550078,0.05425316619252746,0.19554883877969054,0.656441717791411
atr,NZD_CHF,short,0.7,1139,0.10529229744734055,0.023948665758038806,0.05835291256158449,0.1522316823330966,0.6505706760316067
atr,USD_JPY,long,0.7,1075,0.04623104363499399,0.024857664225335325,-0.002489978246663249,0.09495206551665122,0.6120930232558139
bb,AUD_CAD,short,0.7,220,0.1682067415065485,0.05234330106051586,0.06561387142793741,0.2707996115851596,0.6909090909090909
bb,CAD_CHF,short,0.7,1061,0.10453056314820759,0.02459432282528615,0.05632569041064674,0.15273543588576843,0.6503298774740811
bb,CHF_JPY,long,0.7,295,0.16309645991507507,0.04516462318266728,0.0745737984770472,0.25161912135310294,0.6813559322033899
bb,EUR_CAD,long,0.7,300,0.11510402676004053,0.045291177184194155,0.026333319479019984,0.20387473404106107,0.65
bb,USD_JPY,long,0.7,342,0.11987909876347887,0.04341990616821136,0.0347760826737846,0.20498211485317314,0.6578947368421053
