status,pnl_pct,days_held,symbol,score_date,bh_entry,close_on_score,entry_dist_pct,score
success,1.4999999999999902,0,BVFL,2026-02-13,19.33623424151709,,,5.0
no_fill,0.0,0,BWB,2026-02-13,18.86377262496258,,,5.0
success,1.6376464727552609,0,BWFG,2026-02-13,47.954672005382506,,,2.0
time_loss,-0.4797430528733715,2,BWNB,2026-02-13,24.696742812979707,,,2.0
success,1.4999999999999902,0,BXC,2026-02-13,72.70532088179677,,,5.0
success,1.7164952788911503,1,BYFC,2026-02-13,8.155019475706839,,,5.0
no_fill,0.0,0,BYRE,2026-02-13,26.374107739666247,,,2.0
time_loss,-0.34304516519914063,2,CAFG,2026-02-13,27.795751983309486,,,2.0
no_fill,0.0,0,CAF,2026-02-13,17.84910000397649,,,2.0
no_fill,0.0,0,CAMX,2026-02-13,33.73901276242423,,,2.0
no_fill,0.0,0,CANC,2026-02-13,36.165535631067975,,,2.0
no_fill,0.0,0,CAPN,2026-02-13,10.719454009339625,,,2.0
no_fill,0.0,0,CAPNU,2026-02-13,11.748277829285003,,,5.0
stopped_out,-3.0000000000000138,1,CAPL,2026-02-13,22.938751316334137,,,2.0
success,2.197418904778514,1,CARU,2026-02-13,29.830145438299674,,,2.0
time_profit,0.36344586728753736,2,CARZ,2026-02-13,86.0165531449586,,,5.0
success,1.4999999999999902,0,CASS,2026-02-13,44.386778802947966,,,2.0
no_fill,0.0,0,CBK,2026-02-13,25.41637502067721,,,2.0
no_fill,0.0,0,CBNA,2026-02-13,34.524549513314035,,,5.0
stopped_out,-3.0000000000000027,1,CBFV,2026-02-13,36.5480986398268,,,2.0
no_fill,0.0,0,CBLS,2026-02-13,30.142979845593068,,,5.0
no_fill,0.0,0,CBNK,2026-02-13,31.27188362770773,,,5.0
time_loss,-0.1526339634451035,2,CBON,2026-02-13,23.142723656365856,,,2.0
no_fill,0.0,0,CBO,2026-02-13,32.429433959551105,,,5.0
no_fill,0.0,0,CBSE,2026-02-13,42.11905386406791,,,5.0
no_fill,0.0,0,CCBG,2026-02-13,42.17649200322303,,,2.0
time_profit,0.41699270686190726,2,CCEF,2026-02-13,29.77396121660459,,,2.0
time_profit,0.26168684660752284,2,CCD,2026-02-13,22.747835780302697,,,2.0
time_loss,-0.5780414595253691,2,CCLDO,2026-02-13,25.849522920529363,,,2.0
no_fill,0.0,0,CCNR,2026-02-13,38.767112765578695,,,5.0
time_loss,-0.2765450210893139,2,CCOR,2026-02-13,27.314336200126256,,,2.0
time_loss,-0.279661553676791,2,CCSB,2026-02-13,20.286132513367814,,,2.0
success,1.4999999999999902,0,CCSO,2026-02-13,27.117010180006474,,,5.0
time_loss,-0.5328901226421712,2,CDC,2026-02-13,73.19454650865737,,,5.0
time_loss,-0.5160472219892465,2,CDL,2026-02-13,76.41232367357492,,,5.0
no_fill,0.0,0,CDRO,2026-02-13,7.75485923603834,,,5.0
success,2.386325738228523,0,CEE,2026-02-13,19.475256931263136,,,5.0
no_fill,0.0,0,CEFA,2026-02-13,39.802140164317194,,,2.0
success,1.4999999999999902,1,CEFD,2026-02-13,19.271111556732592,,,2.0
no_fill,0.0,0,CENT,2026-02-13,37.37066514862247,,,5.0
success,1.4999999999999902,1,CET,2026-02-13,51.147140006048566,,,2.0
time_loss,-0.19575529818433024,2,CEW,2026-02-13,19.426528458711214,,,2.0
time_profit,0.5743971824111682,2,CFA,2026-02-13,95.14797272554314,,,2.0
time_loss,-2.00939292842951,2,CFFI,2026-02-13,77.09198081079842,,,2.0
no_fill,0.0,0,CFBK,2026-02-13,31.29698250082043,,,5.0
time_profit,0.609153024340281,2,CFO,2026-02-13,77.15023699804074,,,2.0
no_fill,0.0,0,CGCTU,2026-02-13,10.598272702072629,,,2.0
time_profit,0.5666946616547541,2,CGO,2026-02-13,12.289692654272352,,,2.0
success,1.4999999999999902,1,CGV,2026-02-13,16.377937204492703,,,5.0
time_loss,-0.015111236724474342,2,CGW,2026-02-13,68.14029684156048,,,2.0
success,1.5642520899070922,0,CHCO,2026-02-13,125.30983823652595,,,2.0
time_profit,0.19035822151667325,2,CHGX,2026-02-13,28.046710780164954,,,2.0
no_fill,0.0,0,CHMG,2026-02-13,58.61154657838658,,,5.0
success,1.4999999999999902,0,CHPX,2026-02-13,59.994086756408365,,,5.0
success,1.4999999999999902,0,CHPS,2026-02-13,56.83640862531299,,,5.0
time_loss,-0.15962465064480735,2,CHSCL,2026-02-13,25.691109343536393,,,2.0
no_fill,0.0,0,CHSCM,2026-02-13,25.0282114663038,,,2.0
no_fill,0.0,0,CHSCN,2026-02-13,25.37963904215,,,2.0
time_loss,-0.1946920338021907,2,CHSCO,2026-02-13,26.341284382293505,,,2.0
time_profit,0.09609374036736451,2,CHSCP,2026-02-13,28.32278357788386,,,2.0
no_fill,0.0,0,CIL,2026-02-13,56.79224047214693,,,2.0
no_fill,0.0,0,CIVB,2026-02-13,23.467597372843645,,,2.0
no_fill,0.0,0,CIX,2026-02-13,24.29082799175507,,,5.0
success,1.8498062015503747,1,CKX,2026-02-13,10.660537502712934,,,2.0
no_fill,0.0,0,CLCV,2026-02-13,26.950015730490904,,,2.0
success,1.7094717025456951,0,CLMB,2026-02-13,118.6910107576328,,,2.0
success,1.4999999999999902,1,CLSM,2026-02-13,23.684785576282263,,,2.0
no_fill,0.0,0,CLST,2026-02-13,15.91415718787116,,,2.0
success,1.5015972548298784,0,CMDB,2026-02-13,18.9849229186224,,,5.0
success,1.8368145548981474,1,CMDT,2026-02-13,28.4474726812894,,,2.75
success,1.4999999999999902,1,CMDY,2026-02-13,51.891683560551925,,,2.0
time_profit,0.6040733197556047,2,CNOBP,2026-02-13,24.5675183530536,,,2.0
no_fill,0.0,0,CNRG,2026-02-13,97.65786435249078,,,2.0
success,2.054727314487681,1,COAL,2026-02-13,25.104177605659025,,,5.0
no_fill,0.0,0,CNXT,2026-02-13,45.19778879673064,,,2.0
success,1.4999999999999902,0,COLAU,2026-02-13,11.823773821445299,,,5.0
success,1.4999999999999902,1,COM,2026-02-13,30.816228782746077,,,2.0
success,1.4999999999999902,1,COMB,2026-02-13,22.410440833182953,,,2.0
time_profit,0.6515463917525555,2,CORO,2026-02-13,34.02591815884913,,,5.0
no_fill,0.0,0,COTG,2026-02-13,15.537936613673835,,,5.0
no_fill,0.0,0,COWS,2026-02-13,33.98329980304629,,,2.0
success,1.4999999999999902,0,CPAC,2026-02-13,10.59312251409405,,,5.0
no_fill,0.0,0,CPBI,2026-02-13,17.592056658000185,,,5.0
time_profit,0.3942979053529916,2,CPHY,2026-02-13,51.60677405198545,,,2.0
time_profit,0.09236198601554335,2,CPRA,2026-02-13,26.74240018807807,,,2.0
time_profit,0.3865053171983934,2,CPRO,2026-02-13,27.304074407145823,,,2.0
time_profit,0.23694927804516208,2,CPRJ,2026-02-13,27.02830288450562,,,2.0
no_fill,0.0,0,CPSR,2026-02-13,25.349991425859983,,,2.0
success,1.4999999999999902,0,CPSS,2026-02-13,8.408006018469127,,,2.0
time_profit,0.6421495937874777,2,CQP,2026-02-13,58.94150734997989,,,5.0
time_profit,0.16255802349494086,2,CRAK,2026-02-13,44.16820104536738,,,2.0
time_profit,0.8638665475126706,2,CRBN,2026-02-13,235.1489437161056,,,2.0
no_fill,0.0,0,CRED,2026-02-13,21.683652958604878,,,2.0
time_loss,-0.22286364977751605,2,CSB,2026-02-13,63.92256015058281,,,5.0
no_fill,0.0,0,CSD,2026-02-13,114.61062941651419,,,5.0
success,1.4999999999999902,1,CSNR,2026-02-13,36.0640931282604,,,5.0
success,1.7217760352635558,0,CSMD,2026-02-13,33.355689727868686,,,2.0
time_profit,0.37972171550257894,2,CSPF,2026-02-13,26.22463811191977,,,2.0
no_fill,0.0,0,CSRE,2026-02-13,27.770776752530605,,,2.0
no_fill,0.0,0,CSV,2026-02-13,42.61445659792807,,,2.0
success,1.4999999999999902,0,CTBB,2026-02-13,19.816190231924363,,,2.0
success,1.4999999999999902,1,CTDD,2026-02-13,20.15382436999812,,,2.0
success,1.4999999999999902,0,CTEC,2026-02-13,58.06517469958478,,,2.0
success,1.4999999999999902,0,CTBI,2026-02-13,62.79353152577716,,,5.0
no_fill,0.0,0,CTEX,2026-02-13,38.03268075344231,,,5.0
stopped_out,-2.9999999999999916,0,CTWO,2026-02-13,19.418886670493194,,,2.0
success,1.4999999999999902,0,CUBB,2026-02-13,22.618906002420765,,,2.0
no_fill,0.0,0,CURE,2026-02-13,113.20118581673852,,,2.0
time_loss,-0.9782844397633217,2,CUT,2026-02-13,32.48680833123314,,,5.0
success,1.4999999999999902,0,CVEO,2026-02-13,28.35040751154347,,,5.0
time_profit,0.7974276527331181,2,CVIE,2026-02-13,77.93303511317359,,,5.0
success,1.5103092105013705,1,CVLC,2026-02-13,83.8831057281334,,,2.0
no_fill,0.0,0,CVMC,2026-02-13,67.71047736034548,,,2.0
success,1.4999999999999902,0,CVRT,2026-02-13,42.2840374523117,,,5.0
time_profit,1.134258140396649,2,CVRD,2026-02-13,18.70445590442155,,,2.0
stopped_out,-3.0000000000000027,0,CVR,2026-02-13,13.676248077283885,,,5.0
success,1.4999999999999902,1,CVY,2026-02-13,28.367885899134734,,,2.0
no_fill,0.0,0,CWCO,2026-02-13,36.70997002292806,,,2.0
time_profit,1.3681592039801238,2,CXH,2026-02-13,8.111533438475826,,,2.0
no_fill,0.0,0,CZA,2026-02-13,116.03594196685111,,,2.0
no_fill,0.0,0,CZFS,2026-02-13,62.53373480375921,,,5.0
no_fill,0.0,0,CZNC,2026-02-13,23.596483728672855,,,5.0
success,1.6814781747508833,0,CZWI,2026-02-13,18.63662914836105,,,2.0
time_loss,-0.007459656711106266,2,DAC,2026-02-13,106.81256785088598,,,5.0
no_fill,0.0,0,DALI,2026-02-13,29.459549364604708,,,2.0
