tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
68,-0.08823529411764706,0.121692941999187,-0.3267534604360536,0.15028287220075942,30,0.03262516261697933,0.18247506306755973,-0.32502596099543773,0.3902762862293964,GBP_USD,12,26,13,zero_cross,long,98
62,0.01582145510107921,0.12698434876646814,-0.23306786848119834,0.26471077868335674,28,0.027185830374539175,0.18910933662107068,-0.3434684694027593,0.3978401301518377,GBP_USD,12,26,13,zero_cross,short,90
115,0.03551931224519652,0.09296411970364096,-0.14669036237393976,0.2177289868643328,50,0.17040779901512054,0.13646825898763862,-0.09706998860065114,0.4378855866308922,GBP_USD,18,39,5,signal_cross,long,165
121,-0.08556291770242085,0.0897509897188174,-0.26147485755130295,0.09034902214646125,52,-0.056671622408744377,0.13845164311207422,-0.32803684290840984,0.21469359809092112,GBP_USD,18,39,5,signal_cross,short,173
51,-0.0196078431372549,0.14139416766525448,-0.2967404117611537,0.2575247254866439,23,-0.30434782608695654,0.20308668108561476,-0.7023977210147614,0.09370206884084836,GBP_USD,18,39,5,zero_cross,long,74
44,0.11815299851513653,0.1497447592593266,-0.1753467296331436,0.4116527266634167,19,0.2631578947368421,0.22739441047045122,-0.18253514978524232,0.7088509392589265,GBP_USD,18,39,5,zero_cross,short,63
98,-0.1285622265178682,0.09923436914784749,-0.3230615900476492,0.06593713701191287,43,0.14254110458788574,0.1509347719567815,-0.15329104844740601,0.43837325762317747,GBP_USD,18,39,9,signal_cross,long,141
105,-0.06716426395313316,0.0973955166506592,-0.2580594765884252,0.12373094868215886,46,0.4591964473092249,0.12700776818886536,0.21026122165904879,0.7081316729594009,GBP_USD,18,39,9,signal_cross,short,151
51,-0.0196078431372549,0.14139416766525448,-0.2967404117611537,0.2575247254866439,23,-0.30434782608695654,0.20308668108561476,-0.7023977210147614,0.09370206884084836,GBP_USD,18,39,9,zero_cross,long,74
44,0.11815299851513653,0.1497447592593266,-0.1753467296331436,0.4116527266634167,19,0.2631578947368421,0.22739441047045122,-0.18253514978524232,0.7088509392589265,GBP_USD,18,39,9,zero_cross,short,63
94,-0.1036670686028441,0.10228975195903088,-0.30415498244254463,0.09682084523685643,41,0.10399222841381973,0.1515257833044812,-0.19299830686296338,0.4009827636906028,GBP_USD,18,39,13,signal_cross,long,135
96,0.05214911022362569,0.10172006706355295,-0.1472222212209381,0.2515204416681895,42,0.17688581415581525,0.1476579070246646,-0.11252368361252738,0.46629531192415785,GBP_USD,18,39,13,signal_cross,short,138
51,-0.0196078431372549,0.14139416766525448,-0.2967404117611537,0.2575247254866439,23,-0.30434782608695654,0.20308668108561476,-0.7023977210147614,0.09370206884084836,GBP_USD,18,39,13,zero_cross,long,74
44,0.11815299851513653,0.1497447592593266,-0.1753467296331436,0.4116527266634167,19,0.2631578947368421,0.22739441047045122,-0.18253514978524232,0.7088509392589265,GBP_USD,18,39,13,zero_cross,short,63
91,0.06755108768967524,0.10360064726591373,-0.13550618095151565,0.2706083563308661,40,0.0625383801542861,0.15415586111890323,-0.23960710763876425,0.3646838679473364,GBP_USD,24,52,5,signal_cross,long,131
93,0.010752688172043012,0.10425117972938341,-0.19357962409754847,0.21508500044163448,41,0.14755888284914806,0.15060520537820196,-0.1476273196921278,0.4427450853904239,GBP_USD,24,52,5,signal_cross,short,134
41,0.15271937357227935,0.15443075602761183,-0.1499649082418398,0.4554036553863985,18,0.3333333333333333,0.2286647801900118,-0.1148496358390898,0.7815163025057564,GBP_USD,24,52,5,zero_cross,long,59
39,0.1282051282051282,0.16088271677005372,-0.1871249966641771,0.4435352530744335,17,0.15328480471647005,0.24228999554780367,-0.32160358655722515,0.6281731959901653,GBP_USD,24,52,5,zero_cross,short,56
82,-0.05470327566768893,0.10967462017604225,-0.26966553121273173,0.16025897987735388,36,0.20879516459967895,0.1635359947748572,-0.11173538515904113,0.529325714358399,GBP_USD,24,52,9,signal_cross,long,118
86,-0.0669012602131674,0.10794869957255736,-0.27848071137537983,0.144678190949045,37,0.19273513825884112,0.1539025297222754,-0.10891381999681862,0.4943840965145009,GBP_USD,24,52,9,signal_cross,short,123
41,0.15271937357227935,0.15443075602761183,-0.1499649082418398,0.4554036553863985,18,0.3333333333333333,0.2286647801900118,-0.1148496358390898,0.7815163025057564,GBP_USD,24,52,9,zero_cross,long,59
39,0.1282051282051282,0.16088271677005372,-0.1871249966641771,0.4435352530744335,17,0.15328480471647005,0.24228999554780367,-0.32160358655722515,0.6281731959901653,GBP_USD,24,52,9,zero_cross,short,56
75,-0.09333333333333334,0.11574020820698307,-0.32018414141902013,0.13351747475235348,33,-0.026289463508478952,0.17133028783302653,-0.36209682766121093,0.30951790064425305,GBP_USD,24,52,13,signal_cross,long,108
83,0.2077890556827422,0.10772685517518156,-0.0033555804606136552,0.4189336918260981,36,0.07117799232519606,0.1620954558779356,-0.2465291011955577,0.38888508584594983,GBP_USD,24,52,13,signal_cross,short,119
41,0.15271937357227935,0.15443075602761183,-0.1499649082418398,0.4554036553863985,18,0.3333333333333333,0.2286647801900118,-0.1148496358390898,0.7815163025057564,GBP_USD,24,52,13,zero_cross,long,59
39,0.1282051282051282,0.16088271677005372,-0.1871249966641771,0.4435352530744335,17,0.15328480471647005,0.24228999554780367,-0.32160358655722515,0.6281731959901653,GBP_USD,24,52,13,zero_cross,short,56
201,0.09326858766343948,0.06979986277648471,-0.04353914337847056,0.23007631870534953,87,0.2027920540068064,0.10503857599182888,-0.0030835549371782123,0.408667662950791,AUD_USD,6,13,5,signal_cross,long,288
207,0.09335408346065723,0.06870823392158339,-0.04131405502564621,0.22802222194696065,90,-0.12066662363947175,0.1046420460670565,-0.3257650339309025,0.084431786651959,AUD_USD,6,13,5,signal_cross,short,297
99,0.0189674293208842,0.10016973807678978,-0.17736525730962377,0.21530011595139215,43,-0.16279069767441862,0.15224503969952957,-0.4611909754854966,0.13560958013665936,AUD_USD,6,13,5,zero_cross,long,142
90,-0.10902430407874762,0.10443934266207093,-0.31372541569640666,0.0956768075389114,39,-0.02564102564102564,0.16216808513683997,-0.343490472509232,0.29220842122718066,AUD_USD,6,13,5,zero_cross,short,129
185,-0.02702702702702703,0.07369404803889613,-0.17146736118326344,0.11741330712920939,80,0.05803635873240195,0.11170291229130436,-0.16090134935855457,0.27697406682335846,AUD_USD,6,13,9,signal_cross,long,265
151,0.027841596893532005,0.08092717014723044,-0.13077565659503967,0.18645885038210366,65,0.046153846153846156,0.12486679292883021,-0.19858506798666106,0.2908927602943534,AUD_USD,6,13,9,signal_cross,short,216
99,0.0189674293208842,0.10016973807678978,-0.17736525730962377,0.21530011595139215,43,-0.16279069767441862,0.15224503969952957,-0.4611909754854966,0.13560958013665936,AUD_USD,6,13,9,zero_cross,long,142
90,-0.10902430407874762,0.10443934266207093,-0.31372541569640666,0.0956768075389114,39,-0.02564102564102564,0.16216808513683997,-0.343490472509232,0.29220842122718066,AUD_USD,6,13,9,zero_cross,short,129
170,0.07429424954548393,0.07633990480185048,-0.075331963866143,0.22392046295711088,73,0.0136986301369863,0.11784007215126886,-0.21726791127950065,0.24466517155347325,AUD_USD,6,13,13,signal_cross,long,243
152,0.015611123181136432,0.08080674643714061,-0.14277009983565916,0.17399234619793205,66,0.08872232255098676,0.12174235046955378,-0.14989268436933867,0.32733732947131217,AUD_USD,6,13,13,signal_cross,short,218
99,0.0189674293208842,0.10016973807678978,-0.17736525730962377,0.21530011595139215,43,-0.16279069767441862,0.15224503969952957,-0.4611909754854966,0.13560958013665936,AUD_USD,6,13,13,zero_cross,long,142
90,-0.10902430407874762,0.10443934266207093,-0.31372541569640666,0.0956768075389114,39,-0.02564102564102564,0.16216808513683997,-0.343490472509232,0.29220842122718066,AUD_USD,6,13,13,zero_cross,short,129
