symbol,issue
LVO,SPIKE: 1 days with >50% move
LVRO,SPIKE: 1 days with >50% move
LVROW,SPIKE: 7 days with >50% move
LXEH,SPIKE: 1 days with >50% move
MAPSW,SPIKE: 2 days with >50% move
PLTS,SPIKE: 1 days with >50% move
MAZE,SPIKE: 1 days with >50% move
MBAY,ZERO_PRICE: 100 days with 0.0 price
MBRX,SPIKE: 1 days with >50% move
MSA,SPIKE: 2 days with >50% move
MCACU,SPIKE: 1 days with >50% move
MCACW,SPIKE: 3 days with >50% move
PRAX,SPIKE: 1 days with >50% move
MCOM,SPIKE: 1 days with >50% move
MDCXW,SPIKE: 3 days with >50% move
MDIA,SPIKE: 9 days with >50% move
MDGL,SPIKE: 9 days with >50% move
