tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
223,0.04030390851280565,0.06676454664866262,-0.09055460291857306,0.17116241994418438,96,0.09868593398465215,0.1016797506322148,-0.10060637725448883,0.2979782452237931,AUD_USD,20,2.0,14,short,319
130,0.03943782452471911,0.08764251993564764,-0.13234151454915027,0.2112171635985885,56,0.10714285714285714,0.13406378455884793,-0.1556221605924848,0.3699078748781991,AUD_USD,20,2.5,14,short,186
270,-0.015156051750414056,0.060526486956026374,-0.13378796618422575,0.10347586268339763,116,0.034482758620689655,0.09319502409547259,-0.1481794886064366,0.21714500584781593,AUD_USD,50,1.0,14,long,386
258,0.02892284555038344,0.06194059197234182,-0.09248071471540653,0.1503264058161734,111,-0.009009009009009009,0.09534238958791318,-0.19588009260131883,0.17786207458330083,AUD_USD,50,1.5,14,long,369
212,0.004829343178798804,0.06859274875246114,-0.12961244437602504,0.13927113073362263,91,-0.07692307692307693,0.10509693093291896,-0.28291306155159807,0.1290669077054442,AUD_USD,50,2.0,14,long,303
189,0.03376118528519576,0.07242866590032578,-0.10819899987944276,0.17572137044983427,81,0.21934308619561216,0.10840977670918778,0.0068599238456041045,0.43182624854562024,AUD_USD,50,2.5,14,long,270
275,-0.036524965014372086,0.06021796304280947,-0.15455217257827863,0.08150224254953448,118,-0.05940692135777619,0.09189352309781888,-0.2395182266295012,0.1207043839139488,AUD_USD,50,1.0,14,short,393
252,0.06796395709608524,0.06284986750181852,-0.05522178320747906,0.19114969739964954,109,0.16948485928923493,0.09448498366567112,-0.015705708695480464,0.3546754272739503,AUD_USD,50,1.5,14,short,361
230,0.01170235206401457,0.06566273908801169,-0.11699661654848834,0.14040132067651748,99,0.17677050196162625,0.09903481183745845,-0.01733772923979232,0.3708787331630448,AUD_USD,50,2.0,14,short,329
192,0.12948361671949052,0.07156172968816056,-0.010777373469304186,0.2697446069082852,83,0.10209831928356476,0.10866229644328033,-0.11087978174526468,0.3150764203123942,AUD_USD,50,2.5,14,short,275
199,-0.06532663316582915,0.07091510185928818,-0.20432023281003397,0.07366696647837567,86,0.06976744186046512,0.10820092986749762,-0.1423063806798302,0.28184126440076046,AUD_USD,100,1.0,14,long,285
180,-0.11283254020247362,0.07415668738984568,-0.25817964748657113,0.03251456708162391,78,0.15384615384615385,0.11260385457098458,-0.06685740111297592,0.3745497088052836,AUD_USD,100,1.5,14,long,258
179,-0.04475247887275682,0.07457689274919002,-0.19092318866116925,0.1014182309156556,78,0.1794871794871795,0.11210989230769662,-0.040248209435905874,0.3992225684102648,AUD_USD,100,2.0,14,long,257
