tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tenkan,kijun,senkou_b,displacement,trigger,direction,total_n
302,-0.11731135339027587,0.055626097412321,-0.22633850431842503,-0.008284202462126716,130,0.0024665388106403516,0.08633996452098405,-0.16675979165048838,0.17169286927176908,USD_CHF,7,22,44,22,tk_cross,long,432
299,0.10295731011784454,0.056032121003288714,-0.006865647048601348,0.21278026728429042,129,0.03921331240735702,0.0866997321982932,-0.13071816270129766,0.20914478751601168,USD_CHF,7,22,44,22,tk_cross,short,428
322,-0.14453909776968418,0.053224764527130784,-0.2488596362428605,-0.04021855929650785,139,0.15020659050557297,0.08343190040358993,-0.013319934285463297,0.31373311529660924,USD_CHF,7,22,44,22,cloud_break,long,461
330,0.1756562712479726,0.052374572715383594,0.07300210872582075,0.27831043377012443,142,0.13737551495638398,0.08190331660702856,-0.02315498559339199,0.2979060155061599,USD_CHF,7,22,44,22,cloud_break,short,472
123,-0.07190808926070932,0.08686386931814553,-0.24216127312427457,0.09834509460285593,53,0.02209372184734878,0.13539994114495407,-0.24329016279676122,0.28747760649145876,USD_CHF,7,22,44,22,tk_cross_above_cloud,long,176
120,0.1509185874594313,0.08817949819209264,-0.021913228997070294,0.3237504039159329,52,0.21751921905771943,0.13408725711589578,-0.04529180488943629,0.48033024300487515,USD_CHF,7,22,44,22,tk_cross_above_cloud,short,172
224,0.017259347432744456,0.0647337201324798,-0.10961874402691593,0.14413743889240485,97,-0.09865308737915988,0.0988322376764424,-0.292364273224987,0.09505809846666723,USD_CHF,12,30,60,30,tk_cross,long,321
219,0.040564370365967495,0.06512257742749554,-0.08707588139192377,0.16820462212385875,95,0.17265348251648954,0.09939115435078472,-0.02215318001104849,0.3674601450440276,USD_CHF,12,30,60,30,tk_cross,short,314
259,-0.09484149203539309,0.05925005280412594,-0.21097159553147993,0.021288611460693746,112,0.079058124368941,0.09321089238453503,-0.10363522470474767,0.26175147344262967,USD_CHF,12,30,60,30,cloud_break,long,371
254,0.13917210170114722,0.06026266853923465,0.0210572713642473,0.25728693203804714,109,0.10933485311333566,0.09379895618237258,-0.0745111010041146,0.2931808072307859,USD_CHF,12,30,60,30,cloud_break,short,363
89,0.20448367861322217,0.10025008854176982,0.007993505071353324,0.400973852155091,39,0.003082066927706859,0.1573961587588341,-0.305414404239608,0.3115785380950217,USD_CHF,12,30,60,30,tk_cross_above_cloud,long,128
95,0.038712016461859004,0.09898409324088102,-0.1552968062902678,0.23272083921398581,41,0.48163253164702857,0.13353361258364188,0.21990665098309048,0.7433584123109667,USD_CHF,12,30,60,30,tk_cross_above_cloud,short,136
266,-0.015037593984962405,0.06142256578652947,-0.13542582292656016,0.10535063495663535,114,0.014895204125814998,0.09384984121799693,-0.16905048466145897,0.19884089291308896,NZD_USD,9,26,52,26,tk_cross,long,380
259,0.04546902112080324,0.06204377279727851,-0.07613677356186264,0.1670748158034691,111,0.06306306306306306,0.09515647639914451,-0.12344363067926017,0.2495697568053863,NZD_USD,9,26,52,26,tk_cross,short,370
259,0.02702702702702703,0.06223453825008957,-0.09495266794314854,0.1490067219972026,112,-0.125,0.0941713504376105,-0.30957584685771655,0.05957584685771658,NZD_USD,9,26,52,26,cloud_break,long,371
