instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high
XAG_USD,mr_under_limit,rsi14_lt30,H4,market,1,947,-0.34809439835107264,0,0.03961743838025815,-0.4257445775763786,-0.27044421912576666
XAG_USD,mr_under_limit,sma50_dist_low,H4,limit,1,4588,-0.1214029988756458,0,0.018494561997280525,-0.15765234039031564,-0.08515365736097597
XAG_USD,mr_under_limit,sma50_dist_low,H4,market,1,4588,-0.3249219622151081,0,0.01787735162989979,-0.3599615714097117,-0.2898823530205045
XAG_USD,mr_under_limit,stoch14_k20,H4,limit,1,2798,-0.10217201632969047,1,0.027186428763853455,-0.15545741670684324,-0.0488866159525377
XAG_USD,mr_under_limit,stoch14_k20,H4,market,1,2798,-0.302041174075541,0,0.022948472758966082,-0.3470201806831145,-0.25706216746796745
XAG_USD,trend,donchian55,D1,limit,-1,65,-0.4698276891876371,0,0.14186987333326462,-0.7478926409208357,-0.19176273745443845
XAG_USD,trend,donchian55,D1,limit,1,136,-0.3362439919502039,0,0.10138719243761868,-0.5349628891279365,-0.13752509477247127
XAG_USD,trend,donchian55,D1,market,-1,65,-0.5085399737991207,0,0.13946987548567188,-0.7819009297510376,-0.23517901784720385
XAG_USD,trend,donchian55,D1,market,1,136,-0.4830755251955621,0,0.09606475701757285,-0.671362448950005,-0.29478860144111935
XAG_USD,trend,donchian55,H4,limit,-1,407,-0.07477737635365697,0,0.06375915559428397,-0.19974532131845354,0.0501905686111396
XAG_USD,trend,donchian55,H4,limit,1,672,-0.11445330187710978,0,0.048118700580381875,-0.20876595501465825,-0.020140648739561312
XAG_USD,trend,donchian55,H4,market,-1,407,-0.29619455814781104,0,0.0617669864388343,-0.4172578515679263,-0.1751312647276958
XAG_USD,trend,donchian55,H4,market,1,672,-0.29648471441643176,0,0.04664938222860462,-0.38791750358449684,-0.2050519252483667
XAG_USD,trend,supertrend10x3,D1,limit,-1,1467,-0.21562684822427164,0,0.0319629682134219,-0.27827426592257853,-0.15297943052596472
XAG_USD,trend,supertrend10x3,D1,limit,1,1690,-0.33405427667795157,0,0.028959134111548344,-0.3908141795365863,-0.2772943738193168
XAG_USD,trend,supertrend10x3,D1,market,-1,1467,-0.39480998096655734,0,0.030565441543927433,-0.4547182463926551,-0.33490171554045955
XAG_USD,trend,supertrend10x3,D1,market,1,1690,-0.48913042184985633,0,0.027451287576116274,-0.5429349454990442,-0.4353258982006684
XAG_USD,trend,supertrend10x3,H4,limit,-1,7726,-0.02243045118672334,1,0.016877893762684833,-0.05551112296158561,0.010650220588138932
XAG_USD,trend,supertrend10x3,H4,limit,1,8324,-0.06384394147542036,1,0.01600956709920593,-0.09522269298986398,-0.032465189960976734
XAG_USD,trend,supertrend10x3,H4,market,-1,7726,-0.26571526830843606,1,0.01633759860335597,-0.29773696157101376,-0.23369357504585836
