instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high,baseline_n,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_block_len,excess_boot_se,excess_ci_low,excess_ci_high,split
XCU_USD,mr_under_limit,ema50_dist_-2.0%,H4,limit,1,660,0.2183873814987343,2,0.05314831658993164,0.11421668098246829,0.3225580820150003,7631,0.21805171635757506,0.00033566514115923596,,2,0.04792738212465821,-0.0879921969085221,0.08161487264382489,2016-2021
XCU_USD,mr_under_limit,ema50_dist_-2.0%,H4,limit,1,985,0.23029819090974954,1,0.036181793235069946,0.15938187616901245,0.30121450565048663,8338,0.22226554936177506,0.008032641547974478,,1,0.03188403723523252,-0.05557074351649641,0.065502798113564,2021-2026
XCU_USD,mr_under_limit,ema50_dist_-2.0%,H4,market,1,660,-0.023885859682285352,2,0.05434951152524238,-0.13041090227176041,0.08263918290718972,7631,-0.02685620942132832,0.0029703497390429663,,2,0.048707500181511064,-0.10282565119159941,0.10066042657730562,2016-2021
XCU_USD,mr_under_limit,ema50_dist_-2.0%,H4,market,1,985,0.0030092474629320413,1,0.03811899526901439,-0.07170398326433616,0.07772247819020026,8338,-0.008373467833768947,0.011382715296700988,,1,0.03435768469245819,-0.06943597079073263,0.07505650438260394,2021-2026
XCU_USD,mr_under_limit,sma100_dist_-0.5%,H4,limit,1,2772,0.2494581262851485,3,0.028587815040344765,0.19342600880607275,0.30549024376422423,7631,0.21805171635757506,0.03140640992757343,,3,0.030772030333006253,-0.023183187708695426,0.0951328210493268,2016-2021
XCU_USD,mr_under_limit,sma100_dist_-0.5%,H4,limit,1,3132,0.22080263583306026,2,0.024042965619003386,0.17367842321981364,0.2679268484463069,8338,0.22226554936177506,-0.0014629135287148043,,2,0.023765725213403022,-0.04514829435970213,0.0465951587081791,2021-2026
XCU_USD,mr_under_limit,sma100_dist_-0.5%,H4,market,1,2772,0.007900137535092151,3,0.03013271236758948,-0.051159978705383226,0.06696025377556752,7631,-0.02685620942132832,0.03475634695642047,0.031434267095472174,3,0.03209737480127407,-0.024981304800835397,0.0980801313294585,2016-2021
XCU_USD,mr_under_limit,sma100_dist_-0.5%,H4,market,1,3132,0.009552991951012724,2,0.025325511391085624,-0.040085010375515095,0.05919099427754054,8338,-0.008373467833768947,0.01792645978478167,,2,0.024828980450360572,-0.02568654754139604,0.06926605891192195,2021-2026
XCU_USD,mr_under_limit,sma100_dist_-1.0%,H4,limit,1,2205,0.2743369561556364,2,0.02927343191906121,0.21696102959427643,0.3317128827169964,7631,0.21805171635757506,0.056285239798061354,,2,0.028818533368372524,-0.001704009733258246,0.10748938961914827,2016-2021
XCU_USD,mr_under_limit,sma100_dist_-1.0%,H4,limit,1,2566,0.24120763361391573,1,0.02322206346729786,0.1956923892180119,0.28672287800981955,8338,0.22226554936177506,0.018942084252140667,,1,0.022941740245615957,-0.02558143997147425,0.06408789742594286,2021-2026
XCU_USD,mr_under_limit,sma100_dist_-1.0%,H4,market,1,2205,0.03956154460424954,3,0.03366042542411128,-0.026412889227008574,0.10553597843550766,7631,-0.02685620942132832,0.06641775402557787,0.10056981928875747,3,0.036161574540884735,-0.0011111925577243023,0.13784917947293282,2016-2021
XCU_USD,mr_under_limit,sma100_dist_-1.0%,H4,market,1,2566,0.014513422012343881,2,0.02743737314234552,-0.03926382934665333,0.06829067337134109,8338,-0.008373467833768947,0.022886889846112826,,2,0.029868921045542368,-0.037912664122995245,0.08182196334275178,2021-2026
XCU_USD,mr_under_limit,sma100_dist_-2.0%,H4,limit,1,1310,0.26920519723671404,2,0.03724156080466675,0.1962117380595672,0.3421986564138609,7631,0.21805171635757506,0.051153480879138985,0.01820635900487206,2,0.03725944671501765,-0.010584887413174291,0.12749233720029424,2016-2021
XCU_USD,mr_under_limit,sma100_dist_-2.0%,H4,limit,1,1666,0.2498250804790407,1,0.028304315283228014,0.1943486225239138,0.30530153843416763,8338,0.22226554936177506,0.02755953111726564,,1,0.026991508607303382,-0.022497096129180383,0.0793537570328755,2021-2026
XCU_USD,mr_under_limit,sma100_dist_-2.0%,H4,market,1,1310,0.022024550655835945,3,0.04295439981486262,-0.062166072981294784,0.10621517429296667,7631,-0.02685620942132832,0.04888076007716426,0.009503745676889006,3,0.043662590037917365,-0.034011021633405046,0.13425745868371766,2016-2021
XCU_USD,mr_under_limit,sma100_dist_-2.0%,H4,market,1,1666,0.03866030169140847,2,0.0332288903866257,-0.026468323466377904,0.10378892684919486,8338,-0.008373467833768947,0.04703376952517742,,2,0.03165779112823644,-0.013635973009305268,0.10422238986417791,2021-2026
XCU_USD,mr_under_limit,sma200_dist_-0.5%,H4,limit,1,2863,0.21414816112874496,3,0.028905819369985063,0.15749275516357425,0.2708035670939157,7631,0.21805171635757506,-0.0039035552288300968,,3,0.028471265219605083,-0.05804175906653032,0.0536505483941947,2016-2021
XCU_USD,mr_under_limit,sma200_dist_-0.5%,H4,limit,1,3073,0.22533940323038887,2,0.024252539867109568,0.17780442509085412,0.2728743813699236,8338,0.22226554936177506,0.0030738538686138073,,2,0.023989140291253253,-0.043015011204051136,0.0590484170953168,2021-2026
XCU_USD,mr_under_limit,sma200_dist_-0.5%,H4,market,1,2863,-0.009246971760978724,3,0.030281502441775614,-0.06859871654685892,0.05010477302490148,7631,-0.02685620942132832,0.017609237660349594,,3,0.02823868082746986,-0.03288124851373174,0.07886217984093433,2016-2021
XCU_USD,mr_under_limit,sma200_dist_-0.5%,H4,market,1,3073,0.015238957423256578,2,0.025481233801131483,-0.034704260826961125,0.06518217567347429,8338,-0.008373467833768947,0.023612425257025525,0.035945878874600684,2,0.026775528030599002,-0.029092995895725546,0.0829970587516276,2021-2026
XCU_USD,mr_under_limit,sma200_dist_-1.0%,H4,limit,1,2487,0.20112571125710127,3,0.030869836657409066,0.1406208314085795,0.26163059110562303,7631,0.21805171635757506,-0.01692600510047379,,3,0.032758641340681266,-0.07513260443437009,0.04929512933358658,2016-2021
XCU_USD,mr_under_limit,sma200_dist_-1.0%,H4,limit,1,2712,0.22991839509213038,2,0.02580444450977235,0.17934168385297658,0.28049510633128416,8338,0.22226554936177506,0.007652845730355323,,2,0.027982912401286027,-0.040668381839019725,0.06381377228686806,2021-2026
XCU_USD,mr_under_limit,sma200_dist_-1.0%,H4,market,1,2487,-0.02631015489076404,3,0.03225549884762012,-0.08953093263209946,0.03691062285057139,7631,-0.02685620942132832,0.0005460545305642772,,3,0.03256974365145891,-0.05384155931888818,0.06732341312012308,2016-2021
XCU_USD,mr_under_limit,sma200_dist_-1.0%,H4,market,1,2712,0.024284602054252546,2,0.02716147521397799,-0.02895188936514431,0.0775210934736494,8338,-0.008373467833768947,0.032658069888021495,0.22072901265372658,2,0.028102576882146943,-0.019565276519613057,0.08991828451979535,2021-2026
