pair,tf,period,k,atr_period,direction,n,w,l,t,wr_decisive,ci_low,ci_high
USD_CAD,H4,50,1.5,14,short,522,217,227,78,0.48873873873873874,0.44224179454886214,0.5352356829286153
USD_CAD,H4,50,2.0,14,short,484,212,198,74,0.5170731707317073,0.4687026445345709,0.5654436969288438
USD_CAD,H4,50,2.5,14,short,397,190,152,55,0.5555555555555556,0.5028913536957177,0.6082197574153935
USD_CAD,H4,100,1.0,14,long,377,180,152,45,0.5421686746987951,0.488575807492182,0.5957615419054083
USD_CAD,H4,100,1.5,14,long,360,167,162,31,0.5075987841945289,0.45357587505619135,0.5616216933328664
USD_CAD,H4,100,2.0,14,long,363,167,165,31,0.5030120481927711,0.4492285367191351,0.5567955596664071
USD_CAD,H4,100,2.5,14,long,298,141,126,31,0.5280898876404494,0.468209582027863,0.5879701932530358
USD_CAD,H4,100,1.0,14,short,458,180,201,77,0.47244094488188976,0.42231034643972526,0.5225715433240543
USD_CAD,H4,100,1.5,14,short,407,163,178,66,0.4780058651026393,0.42498725892774325,0.5310244712775354
USD_CAD,H4,100,2.0,14,short,380,169,157,54,0.5184049079754601,0.4641645122021987,0.5726453037487216
USD_CAD,H4,100,2.5,14,short,331,146,145,40,0.5017182130584192,0.44426993485295085,0.5591664912638876
USD_CAD,H4,200,1.0,14,long,261,97,129,35,0.42920353982300885,0.3646716869593656,0.4937353926866521
USD_CAD,H4,200,1.5,14,long,278,116,140,22,0.453125,0.3921447590795605,0.5141052409204395
USD_CAD,H4,200,2.0,14,long,266,116,133,17,0.46586345381526106,0.4039033886554332,0.527823518975089
USD_CAD,H4,200,2.5,14,long,243,114,112,17,0.504424778761062,0.4392387011107234,0.5696108564114005
USD_CAD,H4,200,1.0,14,short,299,117,131,51,0.4717741935483871,0.4096433673443083,0.533905019752466
USD_CAD,H4,200,1.5,14,short,303,114,129,60,0.4691358024691358,0.40638866157135795,0.5318829433669136
USD_CAD,H4,200,2.0,14,short,317,132,126,59,0.5116279069767442,0.4506322728687962,0.5726235410846923
USD_CAD,H4,200,2.5,14,short,335,141,139,55,0.5035714285714286,0.445006720768862,0.5621361363739951
USD_CHF,H4,20,1.0,14,long,735,323,369,43,0.4667630057803468,0.4295913956109337,0.5039346159497599
USD_CHF,H4,20,1.5,14,long,545,230,281,34,0.4500978473581213,0.40696165580117466,0.49323403891506795
USD_CHF,H4,20,2.0,14,long,378,165,190,23,0.4647887323943662,0.4129048681453776,0.5166725966433547
USD_CHF,H4,20,2.5,14,long,258,99,136,23,0.42127659574468085,0.35814579041765193,0.48440740107170976
USD_CHF,H4,20,1.0,14,short,747,391,304,52,0.5625899280575539,0.5257088136788876,0.5994710424362203
USD_CHF,H4,20,1.5,14,short,619,313,257,49,0.5491228070175439,0.5082737045886648,0.589971909446423
USD_CHF,H4,20,2.0,14,short,433,207,191,35,0.5201005025125628,0.4710172515856438,0.5691837534394818
USD_CHF,H4,20,2.5,14,short,252,122,107,23,0.5327510917030568,0.4681299462326822,0.5973722371734314
USD_CHF,H4,50,1.0,14,long,530,221,280,29,0.4411177644710579,0.3976392562143637,0.4845962727277521
